,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result
0,12,12,0,20.0,20.0,0.0,0.0,7,50.0,0.0,2,2,0,20.0,20.0,0.0,0.0,7,50.0,0,1
1,11,6,0,20.0,20.0,0.0,0.0,7,50.0,0.0,15,1,0,20.0,20.0,0.0,0.0,7,50.0,0,1
2,15,3,0,20.0,20.0,0.0,0.0,7,50.0,0.0,13,5,0,20.0,20.0,0.0,0.0,7,50.0,0,1
3,11,8,0,20.0,20.0,0.0,0.0,7,50.0,0.0,14,4,0,20.0,20.0,0.0,0.0,7,50.0,0,1
4,15,3,0,20.4,20.64,-0.2,-0.2,2,0.0,0.0,2,4,1,20.85,20.55,0.4,0.4,2,100.0,0,0
5,13,8,0,20.55,20.85,-0.4,-0.4,2,0.0,0.0,1,5,1,20.64,20.4,0.2,0.2,2,100.0,0,1
6,12,9,0,20.0,20.0,0.0,0.0,7,50.0,0.0,4,2,1,21.333333333333336,20.066666666666666,0.6000000000000001,0.6000000000000001,7,100.0,0,1
7,7,12,0,20.0,20.0,0.0,0.0,7,50.0,0.0,5,1,1,21.133333333333333,20.4,0.6000000000000001,0.6000000000000001,5,100.0,0,1
8,12,9,0,19.2,21.0,-0.6000000000000001,-0.6000000000000001,5,0.0,0.0,11,9,0,20.0,20.0,0.0,0.0,7,50.0,0,0
9,7,12,0,20.066666666666666,21.333333333333336,-0.6000000000000001,-0.6000000000000001,7,0.0,0.0,11,10,0,20.0,20.0,0.0,0.0,7,50.0,0,1
10,10,11,0,20.0,20.0,0.0,0.0,7,50.0,0.0,14,8,0,20.0,20.0,0.0,0.0,7,50.0,0,1
11,2,2,1,22.06666666666667,19.253333333333334,0.0,1.08,5,100.0,0.0,15,6,0,20.4,21.133333333333333,-0.6000000000000001,0.0,7,0.0,0,0
12,14,8,0,21.090000000000003,21.680000000000003,-0.7200000000000001,-0.7200000000000001,7,0.0,0.0,8,3,1,21.653333333333336,21.445333333333334,0.44000000000000006,0.0,7,50.0,0,1
13,6,9,1,20.04,21.28,-0.2800000000000001,-0.2800000000000001,1,50.0,0.0,5,10,1,20.32,20.0,0.2,0.2,1,100.0,0,1
14,1,2,1,22.013333333333335,19.282666666666668,0.2,1.064,2,100.0,0.0,10,12,0,20.333333333333336,21.0,-0.6000000000000001,0.0,7,0.0,0,0
15,5,1,1,21.906666666666666,20.653333333333336,0.0,1.08,7,100.0,0.0,7,8,1,21.0,19.533333333333335,0.6000000000000001,0.6000000000000001,2,100.0,0,0
16,9,12,0,20.053333333333335,21.38666666666667,-0.6800000000000002,-0.6800000000000002,2,0.0,0.0,13,9,0,20.48,20.68,-0.2,-0.2,2,0.0,0,0
17,12,10,0,20.0,20.0,0.0,0.0,7,50.0,0.0,10,12,0,20.400000000000002,21.8,-1.08,-0.6000000000000001,5,0.0,0,0
18,5,3,1,22.22266666666667,20.656266666666667,0.44000000000000006,0.7520000000000001,6,66.66666666666666,0.0,6,12,1,20.99266666666667,21.509333333333338,-0.14400000000000013,0.0,5,33.33333333333333,0,0
19,4,10,1,21.256,19.533333333333335,0.0,0.7600000000000001,6,100.0,0.0,1,2,1,22.61066666666667,19.55946666666667,1.4512,1.08,5,100.0,0,1
20,9,8,0,20.6,20.62666666666667,0.0,-0.12,5,50.0,0.0,15,6,0,20.2,21.266666666666666,-0.6800000000000002,-0.2,7,0.0,0,0
21,6,5,1,21.512,20.97,0.0,0.56,7,100.0,0.0,3,1,1,22.525333333333332,20.32266666666667,1.4640000000000002,1.08,5,100.0,0,0
22,10,4,0,21.613333333333337,21.773333333333333,0.0,-0.28,7,50.0,0.0,12,11,0,19.533333333333335,21.0,-0.6000000000000001,0.0,7,0.0,0,0
23,14,8,0,20.372000000000003,22.244000000000007,-0.9760000000000001,-0.9760000000000001,6,0.0,0.0,10,9,0,19.565333333333335,22.024,-0.8240000000000002,0.0,6,33.33333333333333,0,0
24,6,8,1,20.8,20.701333333333334,0.2,0.10400000000000001,2,66.66666666666666,0.0,12,12,0,20.560000000000002,21.64,-1.064,-0.6800000000000002,2,0.0,0,1
25,10,10,1,20.2,20.240000000000002,0.2,0.2,2,100.0,0.0,15,6,0,20.36,21.333333333333332,-0.7440000000000002,-0.36000000000000004,2,0.0,0,1
26,2,5,1,22.459600000000002,21.476,0.4,0.8480000000000001,2,100.0,0.0,14,11,0,19.826666666666668,21.8,-1.08,-0.6000000000000001,2,0.0,0,0
27,15,9,0,20.784,21.494,0.0,-0.56,7,0.0,0.0,1,2,1,22.988533333333336,19.947573333333334,1.5609600000000001,1.2640000000000002,2,100.0,0,1
28,3,3,1,22.778133333333336,20.458346666666667,0.9520000000000002,1.2016000000000002,2,75.0,0.0,11,9,0,19.785600000000002,22.619200000000003,-1.2592000000000003,-0.6000000000000001,2,25.0,0,0
29,7,4,1,22.29066666666667,21.618666666666666,0.6000000000000001,0.37600000000000006,2,66.66666666666666,0.0,4,1,0,22.720266666666667,21.508133333333337,0.7712000000000002,0.4640000000000001,2,75.0,0,1
30,12,8,1,21.297600000000003,21.928533333333338,-0.18080000000000007,-0.18080000000000007,2,25.0,0.0,8,12,0,20.72746666666667,22.207466666666672,-0.7152000000000002,-0.6000000000000001,2,25.0,0,0
31,10,12,1,21.198000000000004,21.812,-0.6000000000000001,-0.45120000000000005,4,25.0,0.0,2,5,1,22.96768,20.114133333333335,1.2784000000000002,0.56,4,100.0,0,1
32,15,9,0,20.96053333333333,22.1952,-0.6000000000000001,-1.048,4,0.0,0.0,3,3,1,23.22250666666667,20.500010666666668,1.5612800000000004,0.4,4,80.0,0,1
33,1,2,1,23.39082666666667,20.291392000000002,0.7600000000000001,1.8487680000000002,4,100.0,0.0,11,10,0,20.36,20.432000000000002,-0.03999999999999998,0.0,4,50.0,0,1
34,6,10,0,21.3048,20.52666666666667,-0.4,0.20800000000000007,6,66.66666666666666,0.0,7,8,1,22.038080000000004,21.34282666666667,0.45536,0.0,4,40.0,0,1
35,12,9,0,19.961813333333335,23.095360000000003,-0.8240000000000002,-1.6073600000000003,4,20.0,0.0,4,1,1,22.296213333333334,21.24650666666667,0.8169600000000001,0.5712000000000002,4,80.0,0,1
36,10,12,0,20.381973333333335,22.76597333333334,-0.14400000000000013,-1.1721600000000003,4,20.0,0.0,14,11,0,18.794666666666668,22.44,-1.4640000000000002,-1.08,4,0.0,0,1
37,14,6,1,20.528,21.266666666666666,-0.6000000000000001,-0.39520000000000016,4,25.0,0.0,9,4,0,21.872533333333337,21.414933333333334,0.10080000000000006,-0.28,4,50.0,0,1
38,15,9,0,20.368426666666668,22.75616,-1.08,-1.4384000000000001,3,0.0,0.0,5,8,1,22.630464000000003,20.740928000000004,0.964288,0.6000000000000001,3,50.0,0,1
39,1,2,0,22.862661333333335,21.033113600000004,0.20800000000000007,1.0790144000000002,3,85.71428571428571,0.0,9,8,0,21.14,21.31106666666667,-0.3168,-0.12,7,50.0,0,0
40,14,6,0,19.6224,22.013333333333332,-1.08,-0.9161600000000003,3,20.0,0.0,2,5,1,23.84081066666667,20.957973333333335,1.6227200000000004,1.048,3,100.0,0,1
41,11,12,0,21.82506666666667,22.916266666666665,-1.08,-0.9609600000000001,3,20.0,0.0,6,4,1,22.49802666666667,20.331946666666667,0.6806400000000001,0.37600000000000006,3,60.0,0,1
42,8,10,0,20.710506666666667,21.421333333333337,-0.9200000000000002,-0.4336,3,50.0,0.0,3,3,1,23.578005333333337,20.000008533333336,1.8490240000000004,0.9200000000000002,3,83.33333333333334,0,1
43,13,9,0,19.302784000000003,23.476288000000004,-1.2592000000000003,-1.8858880000000005,3,16.666666666666664,0.0,12,11,1,20.035733333333333,22.418666666666667,-0.5712000000000002,-0.264,3,25.0,0,0
44,11,12,0,20.772245333333338,23.212778666666672,-0.7152000000000002,-1.5377280000000004,3,16.666666666666664,0.0,4,1,1,22.83697066666667,20.33053866666667,1.2535680000000002,1.0569600000000001,3,83.33333333333334,0,1
45,6,4,1,22.698421333333336,20.265557333333334,0.2800000000000001,0.9445120000000001,4,66.66666666666666,0.0,10,8,0,21.512000000000004,22.048853333333337,-0.8534400000000002,-0.6960000000000001,4,40.0,0,0
