,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result
0,4,4,0,22.668114304050004,22.201060896503037,-0.016017773561318116,-0.2782038124418269,7,50.0,-1.6834037760000005,11,11,0,20.982588561640146,23.688854522245276,-1.087876980984661,-0.4259227923419448,7,50.0,0,0
1,9,6,0,22.47042772470342,23.412570642722866,-0.5817186181120002,-0.426124020721834,7,50.0,-0.24,6,7,0,22.333695377547006,23.845958234930595,-1.35689956484579,-0.4251178417556405,7,50.0,0,1
2,8,9,1,22.956026419565443,22.482476926936346,-0.9143563988906765,-0.639224238333348,7,50.0,-0.3736320000000002,6,5,0,21.200204755011672,24.306192770968025,-0.967088323841266,-0.06915941544358584,7,50.0,0,1
3,5,2,0,22.255546018172154,21.798554484854854,0.48884530061777753,0.4636532368262269,7,50.0,0.0,12,12,0,20.0,20.0,0.0,0.0,7,50.0,0,0
4,8,9,0,22.814821135652355,22.835981541549078,-1.1314851191125412,-0.9113793906666784,5,0.0,1.7873732608000004,2,4,1,23.134491443240005,21.360848717202433,0.37743695004653854,-0.04903637741640715,7,100.0,0,1
5,5,1,1,24.459897161487262,21.558061895095605,1.5952970433871794,1.8177028160918445,7,50.0,-1.4007475200000004,7,12,1,20.83656293824796,24.084357377934793,-1.4364404158333948,-0.8298010751439471,7,50.0,0,0
6,12,12,0,20.2,21.0,0.0,-0.6000000000000001,7,0.0,0.0,6,3,0,23.14562915077792,22.1840469576861,0.4609754540792145,1.4427136616096243,7,50.0,0,1
7,6,7,1,22.766956302037606,23.276766587944476,-1.1992226838020437,-0.6855196518766321,7,100.0,-0.10604763135999995,5,5,1,21.81016380400934,23.89495421677442,-0.3736706590730128,0.3446724676451314,7,100.0,0,1
8,11,11,0,19.405477278508606,24.598342369059353,-2.7011416931625294,-2.5550359751770753,7,50.0,0.0,9,6,0,22.176342179762734,23.630056514178293,-0.7408992165774673,-0.028806176768000014,7,0.0,0,1
9,10,11,0,20.38607084931212,23.951083617796222,-1.3775688795771175,-1.470301584787729,7,0.0,1.3945600000000002,4,2,1,22.804436814537723,21.638843587883883,0.9709225894609816,1.1949817317428466,7,100.0,0,1
10,1,2,1,23.09354945163018,21.711074870307108,0.9910762404942222,1.1767380715687854,5,100.0,-0.8429857792000002,9,9,0,22.385190241855216,23.33545189990593,-1.3291035125333428,-0.27293709052349824,7,0.0,0,0
11,8,12,0,20.869250350598367,24.267485902347836,-2.1986362954979617,-1.749152332666716,7,0.0,-0.9550720000000001,11,11,0,19.624381822806885,24.478673895247486,-2.44402878014166,-1.9140911618994112,6,0.0,0,0
12,5,3,1,23.583169987289004,21.74723756614888,0.04991204722927911,0.9687803632633717,7,100.0,-0.6832000000000001,10,11,0,20.708856679449696,24.01086689423698,-1.5762412678301834,-0.9407382338735559,7,0.0,0,0
13,2,4,1,23.57425982125867,21.22201230709528,0.5871857811509456,0.9019495600372309,7,100.0,0.547314662539264,6,7,0,22.713565041630087,23.471413270355583,-0.9484157215013057,0.059905726595487596,7,50.0,0,1
14,4,5,1,22.298131043207473,23.615963373419536,-0.978375089667814,0.10106347274158978,7,100.0,0.24,8,6,1,22.541073743810188,23.004045211342635,-0.19271937326197386,0.3769550585856,7,50.0,0,1
15,7,1,1,24.567917729189812,21.446449516076484,1.8762376347097436,2.0541622528734758,7,100.0,0.0,12,12,0,20.16,21.866666666666667,-1.08,-0.6000000000000001,7,0.0,0,0
16,2,1,1,24.65433418335185,21.090492946194523,2.100990107767795,2.243329802298781,2,100.0,-2.3123635200000003,10,11,0,20.607085343559756,23.608693515389582,-1.4609930142641467,-0.9525905870988447,3,0.0,0,0
17,1,1,1,24.72346734668148,21.272394356955623,2.280792086214236,2.3946638418390247,2,100.0,-1.5692961792000002,11,11,0,19.65950545824551,23.58293911619799,-2.155223024113328,-1.731272929519529,6,0.0,0,0
18,5,5,0,21.97183816789931,23.892770698735628,-1.3827000717342512,-0.5191492218067283,6,66.66666666666666,-0.39375360000000004,11,11,0,19.994271033263075,24.266351292958397,-2.3241784192906625,-1.9850183436156235,1,0.0,0,0
19,12,12,0,20.061333333333334,22.493333333333336,-0.6000000000000001,-1.4640000000000002,6,0.0,0.0,8,12,1,20.695400280478694,23.37398872187827,-1.1993218661333729,-1.2638408601151578,7,50.0,0,1
20,9,9,0,21.908152193484174,23.028361519924744,-1.5051880952900332,-1.2632828100266742,7,0.0,0.3454336000000002,5,3,1,23.266535989831205,21.4377900529191,0.9750242906106974,1.7541709292876997,7,100.0,0,1
21,5,4,0,23.25940785700694,21.337609845676223,0.26974862492075646,0.5215596480297848,7,66.66666666666666,0.07999999999999996,8,6,1,23.03285899504815,22.536569502407442,0.44582450139042096,0.9015640468684801,7,66.66666666666666,0,0
22,6,7,1,22.53085203330407,23.177130616284465,-1.3593781470416348,-0.5587325772010445,7,66.66666666666666,1.234950656,2,2,1,22.834839561304147,21.368859896245688,1.1413904572550284,1.3559853853942774,7,100.0,0,1
23,3,4,1,23.607526285605555,20.67008787654098,0.8157988999366053,1.017247718423828,4,75.0,-1.3981332234240003,5,5,1,22.57747053431945,23.247549892321835,0.18468062255461742,0.6757379741161051,5,75.0,0,0
24,7,12,1,21.556320224382954,22.165857644169286,-1.5589090363983695,-0.35945749290669826,4,66.66666666666666,-0.009280000000000038,10,11,0,20.88566827484781,23.886954812311668,-1.7687944114113174,-1.362072469679076,7,0.0,0,0
25,11,11,0,20.128750159943795,24.41308103436672,-2.5609133545300233,-2.4593427354325303,5,0.0,0.0,12,12,0,19.515733333333337,22.99466666666667,-1.7712000000000003,-1.08,4,0.0,0,0
26,1,1,1,25.178773877345186,21.284582152231163,2.424633668971389,2.51573107347122,6,100.0,-1.6897280000000001,10,9,0,21.72652175478734,22.902689215939795,-1.2106262480213394,-0.4183496724187986,4,0.0,0,0
27,2,2,1,23.267871649043318,21.09508791699655,0.9928609923953777,1.5131123658040229,4,100.0,-0.6800000000000002,8,6,0,22.026287196038524,23.029255601925954,-0.2433403988876633,0.12125123749478406,4,50.0,0,0
28,4,3,1,23.093228791864966,21.350232042335282,0.2399296377834233,0.980019432488558,5,100.0,-0.2386303999999999,7,7,0,22.024681626643254,23.541704493027574,-1.0469860617608358,0.24792458127639008,5,50.0,0,0
29,9,11,1,20.54300012795504,23.410464827493374,-1.8487306836240187,-1.7674741883460243,3,20.0,2.170174976,3,4,1,23.736021028484448,21.136070301232785,1.2137981747390625,0.5607708980668744,3,80.0,0,1
