,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,4,4,0,22.66811430405,22.201060896503,-0.016017773561318,-0.278203812441827,7,50,-1.683403776,11,11,0,20.9825885616401,23.6888545222453,-1.08787698098466,-0.425922792341945,7,50,0,0,28,Sesi,Maringa,10,2016
1,9,6,0,22.4704277247034,23.4125706427229,-0.581718618112,-0.426124020721834,7,50,-0.24,6,7,0,22.333695377547,23.8459582349306,-1.35689956484579,-0.425117841755641,7,50,0,1,29,Bento Volei,Minas,10,2016
2,8,9,1,22.9560264195654,22.4824769269363,-0.914356398890676,-0.639224238333348,7,50,-0.373632,6,5,0,21.2002047550117,24.306192770968,-0.967088323841266,-0.069159415443586,7,50,0,1,30,Canoas,America Volei,10,2016
3,5,2,0,22.2555460181722,21.7985544848549,0.488845300617778,0.463653236826227,7,50,0,12,12,0,20,20,0,0,7,50,0,0,30,Funvic,Ponta Grossa,10,2016
4,8,9,0,22.8148211356524,22.8359815415491,-1.13148511911254,-0.911379390666678,5,0,1.7873732608,2,4,1,23.13449144324,21.3608487172024,0.377436950046539,-0.049036377416407,7,100,0,1,4,Canoas,Sesi,11,2016
5,5,1,1,24.4598971614873,21.5580618950956,1.59529704338718,1.81770281609184,7,50,-1.40074752,7,12,1,20.836562938248,24.0843573779348,-1.43644041583339,-0.829801075143947,7,50,0,0,5,Sada Cruzeiro,JF Volei,11,2016
6,12,12,0,20.2,21,0,-0.6,7,0,0,6,3,0,23.1456291507779,22.1840469576861,0.460975454079214,1.44271366160962,7,50,0,1,6,Ponta Grossa,Brasil Volei Clube,11,2016
7,6,7,1,22.7669563020376,23.2767665879445,-1.19922268380204,-0.685519651876632,7,100,-0.10604763136,5,5,1,21.8101638040093,23.8949542167744,-0.373670659073013,0.344672467645131,7,100,0,1,6,Minas,America Volei,11,2016
8,11,11,0,19.4054772785086,24.5983423690594,-2.70114169316253,-2.55503597517708,7,50,0,9,6,0,22.1763421797627,23.6300565141783,-0.740899216577467,-0.028806176768,7,0,0,1,6,Sao Bernardo,Bento Volei,11,2016
9,10,11,0,20.3860708493121,23.9510836177962,-1.37756887957712,-1.47030158478773,7,0,1.39456,4,2,1,22.8044368145377,21.6388435878839,0.970922589460982,1.19498173174285,7,100,0,1,6,Maringa,Funvic,11,2016
10,1,2,1,23.0935494516302,21.7110748703071,0.991076240494222,1.17673807156879,5,100,-0.8429857792,9,9,0,22.3851902418552,23.3354518999059,-1.32910351253334,-0.272937090523498,7,0,0,0,11,Funvic,Canoas,11,2016
11,8,12,0,20.8692503505984,24.2674859023478,-2.19863629549796,-1.74915233266672,7,0,-0.955072,11,11,0,19.6243818228069,24.4786738952475,-2.44402878014166,-1.91409116189941,6,0,0,0,12,JF Volei,Sao Bernardo,11,2016
