,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,7,7,0,22.7898894252923,22.1713826693276,-0.136882095389409,0.423788520526349,7,50,0.44,5,5,0,22.1596207835015,22.9620630556648,-0.236280418740317,0.497724193256243,7,50,0,1,12,Volei Futuro,Minas,1,2012
1,3,11,0,22.480979795007,23.3162050627682,-0.4089314369536,-0.768687891339737,7,50,-0.12,6,8,0,22.7498127027631,22.7907525007432,-0.474588531509956,0.677958085279744,7,50,0,1,12,Volta Redonda,Medley,1,2012
2,12,1,1,24.0223104323282,21.1824340215238,2.02162814869832,1.89768856946233,7,50,0.24,9,4,0,23.0938597276389,23.4292167191535,-0.37399236517208,0.563531788386304,7,50,0,0,12,Sesi,America Volei,1,2012
3,4,11,0,20,20,0,0,7,50,0,7,9,0,22.1902588489487,24.538745705388,-1.6057802027313,-0.35083434508288,7,50,0,0,12,JF Volei,Londrina,1,2012
4,11,3,0,23.36732477318,21.8463555974365,0.431374951401391,0.817128895993751,7,50,-0.76,12,2,0,22.1433972532152,23.1637130984745,-0.473535969151598,1.3088179086295,7,50,0,1,12,Sada Cruzeiro,Cimed,1,2012
5,7,10,1,22.1159358348393,22.5516839217343,-0.74635606720512,-0.061154585630353,7,50,0.12,8,9,0,22.152207079159,24.7809965643104,-1.68462416218504,-0.680667476066304,2,0,0,1,14,Sao Bernardo,Londrina,1,2012
6,4,5,1,22.5276966268012,22.5696504445318,0.153104572734505,0.210975665007746,3,100,0.72,12,3,0,23.193859818544,22.1770844779492,0.253703116795001,1.87119359115526,3,0,0,0,15,Minas,Sada Cruzeiro,1,2012
7,9,7,0,22.4319115402339,22.5371061354621,-0.509505676311527,-0.060969183578921,3,0,0,10,6,0,20,20,0,0,7,50,0,0,15,Volei Futuro,RJX,1,2012
8,11,4,0,22.4250877821111,23.6433733753228,-0.230750339366912,-0.699193892137664,3,0,-0.88,8,11,0,21.9181171693389,23.6529640502146,-1.21495031307179,-1.0071118790656,3,0,0,0,15,America Volei,Volta Redonda,1,2012
9,4,8,1,23.1998501622105,22.1659353339279,-0.728380349939712,0.220329174792035,3,100,0,2,11,1,21.15,20.4,0.4,0,3,100,0,0,15,Medley,JF Volei,1,2012
10,7,2,1,22.4147178025721,23.0309704787796,-0.541551612624896,0.021171224678722,3,100,-0.28,8,1,1,24.1178483458626,20.8959472172191,1.91815085556986,1.64523270437444,3,100,0,1,15,Cimed,Sesi,1,2012
11,3,1,1,23.9442786766901,21.1167577737753,2.01730251895865,1.93452068445589,4,100,-1.16064,2,5,1,22.662157301441,22.3757203556255,0.368780532006197,0.798179354604995,4,100,0,1,19,Sesi,Minas,1,2012
12,10,10,0,22.1427486678714,22.7913471373875,-0.997084853764096,-0.448923668504282,5,0,-0.08,2,8,1,23.5598801297684,21.4660816004756,0.776263339833628,1.1423664682238,4,100,0,0,19,Sao Bernardo,Medley,1,2012
13,4,11,0,20.6533333333333,21.32,0.4,-0.28,4,50,0,8,4,1,22.3400702256889,22.9546987002582,-0.359355113710131,0.050825430709043,4,50,0,1,19,JF Volei,America Volei,1,2012
14,12,3,0,22.8750878548352,22.3816675823593,-0.054900038878888,0.002962493436001,4,0,-1.03904,8,7,1,22.1455292321871,22.2296849083696,0.151224653136863,1.50698848939541,4,50,0,0,19,Sada Cruzeiro,Volei Futuro,1,2012
15,12,6,0,20.2,20.2,0,-0.2,4,0,0,7,9,1,22.4717656633272,24.2747972514483,-0.947699329748033,-0.144533980853043,5,50,0,0,19,RJX,Londrina,1,2012
