,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,2,2,0,22.5986964885233,21.9108822895763,-0.089812639020866,0.368187922606808,7,50,-0.7828096,4,4,0,21.5445848478283,22.8063134246791,-0.41526883364055,0.191699017209271,7,50,2,0,16,Sesi,Minas,12,2012
1,6,6,0,20,20,0,0,7,50,0,7,10,0,20.3653190184442,23.2132948524821,-1.35854226263989,-1.65018433642577,7,50,2,0,16,Canoas,Volta Redonda,12,2012
2,3,6,0,22.7643221233329,23.1420152645539,-0.56253952,-0.143190502047838,7,50,0.12,5,7,0,21.8920785806317,22.1904651453162,-0.38059963945013,0.422379849885478,7,50,2,1,16,RJX,Medley,12,2012
3,11,11,0,20,20,0,0,7,50,0,12,12,0,20,20,0,0,7,50,2,0,16,Super Imperatriz,Funvic,12,2012
4,8,10,0,20.1422552147553,23.4706358819857,-0.26091649950055,-1.48683381011191,3,0,1.0032,2,7,1,21.7936628645054,22.1523721162529,-0.104479711560104,0.537903879908382,3,100,2,1,19,Volta Redonda,Medley,12,2012
5,3,6,1,20.9,19.85,0.4,0.4,5,100,0,2,2,1,22.9789571908186,21.278705831661,0.694550338085447,1.43697657961243,5,100,2,1,21,Canoas,Sesi,12,2012
6,12,12,0,19.92,20.2,0,-0.2,5,0,0,10,5,0,23.1249181270597,22.8287958706913,0.478952391934176,0.893709964268034,7,50,2,1,21,Funvic,Volei Futuro,12,2012
7,7,1,1,24.3640945059512,20.8210808659934,0.270018193514564,1.52376377412067,7,50,-0.6,11,11,0,21.23594577733,24.288468883645,-2.11302198586245,-1.3660544,7,50,2,0,21,Sada Cruzeiro,JF Volei,12,2012
8,10,8,0,21.9184813837445,23.0073960092865,-1.02447555169543,-0.417277730078727,7,50,0,6,11,1,20.2,19.92,0.2,0,5,100,2,1,21,Sao Bernardo,Super Imperatriz,12,2012
9,8,4,0,20.9856678782627,23.1450507397433,0.012236367919069,-0.73221506691244,5,0,-0.6,7,6,0,22.6114576986663,22.7936122116432,-0.314552401638271,0.724731928576,5,0,2,1,21,Minas,RJX,12,2012
10,9,10,0,20.1938041718043,23.0565087055886,-0.40873319960044,-1.38946704808953,3,0,1.1504,7,5,1,23.6999345016477,23.113036696553,0.783161913547341,1.11496797141443,1,100,2,1,22,Volta Redonda,Volei Futuro,12,2012
11,8,4,0,21.0385343026101,23.3160405917947,-0.390210905664745,-0.985772053529952,2,0,-1.08,11,11,0,20.788756621864,24.430775106916,-2.29041758868996,-1.69284352,2,0,2,0,23,Minas,JF Volei,12,2012
12,6,1,1,24.491275604761,20.4568646927947,0.816014554811651,1.81901101929654,2,100,-0.28,5,6,1,22.889166158933,22.4848897693145,0.148358078689383,0.9797855428608,2,50,2,1,23,Sada Cruzeiro,RJX,12,2012
13,12,12,0,20.786,21.36,-0.4,-0.56,2,0,0,3,7,1,21.7149302916043,21.8018976930023,0.116416230751917,0.630323103926706,4,100,2,1,23,Funvic,Medley,12,2012
14,3,2,1,23.5164990859882,21.6229646653288,0.328149888783308,1.15564027046836,7,100,0,5,11,1,20.88,20.656,0.36,0.2,7,100,2,0,30,Sesi,Super Imperatriz,12,2012
