,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,1,1,1,23.4462138845015,21.7524248498237,1.36747471523558,1.30212844302169,7,50,0,8,8,0,20,20,0,0,7,50,0,0,27,Sada Cruzeiro,UM Itapetininga,10,2018
1,2,3,0,23.7012766832849,22.5784969991784,1.64084524996229,0.982648150350301,7,50,0,10,10,0,20,20,0,0,7,50,0,0,27,Sesi,Volei Ribeirao,10,2018
2,12,12,0,20,20,0,0,7,50,0,6,7,0,22.1695946114605,23.3468040064429,-0.949867635791084,0.042369015808,7,50,0,1,28,Sao Judas,Volei Renata,10,2018
3,5,2,0,22.9435528059816,23.433987662014,0.775602928844801,-0.875284426554849,7,50,-1.08,7,11,1,21.7603515284203,23.6985344257476,-0.707121071821052,-0.531329052270051,7,50,0,0,28,SESC-RJ,Maringa,10,2018
4,6,5,0,21.5024967772638,22.5738243583287,0.052931264554196,-0.489892131271686,7,50,-0.44,9,6,0,23.6561936543364,24.5527825006196,-1.07200034217131,-0.198719500288,7,50,0,0,28,Minas,Corinthians/Guarulhos,10,2018
5,6,4,0,22.5257381647305,22.9478370278305,0.00443641736725,-0.323642029494068,7,50,-1.6112,11,10,0,21.7919480231906,23.7820613810475,-1.21644404982772,-1.53506312052757,7,50,0,0,28,Funvic,Ponta Grossa,10,2018
6,7,11,0,21.4582812227363,23.7088275405981,-1.93223701059833,-0.965696857456842,5,0,2.3327221866496,1,3,1,23.1210213466279,22.0627975993427,0.98611852028024,0.56419804638877,6,100,0,1,2,Maringa,Sesi,11,2018
7,9,6,0,22.9249549234692,24.5922260004957,-1.155613667328,-1.25760027373705,5,0,1.08,3,4,1,23.0205905317844,22.0249362889311,0.341086376404746,0.843743411489541,5,100,0,1,2,Corinthians/Guarulhos,Funvic,11,2018
8,12,12,0,19.8666666666667,21,-0.6,-0.6,7,0,0,8,8,0,20.2666666666667,21.0666666666667,-0.6,-0.6,7,0,0,0,4,Sao Judas,UM Itapetininga,11,2018
9,11,10,0,20,20.16,0,-0.2,7,0,0,3,1,1,23.8236377742679,21.6686065465257,1.64170275441735,1.43876595047115,7,100,0,1,4,Volei Ribeirao,Sada Cruzeiro,11,2018
10,12,10,0,21.1002250852191,24.025649104838,-1.18810116589723,-1.57315523986218,7,0,1.08,4,2,1,23.1048422447853,22.7971901296112,-0.30022754124388,-0.7181526491136,7,100,0,1,4,Ponta Grossa,SESC-RJ,11,2018
11,6,7,1,22.7356756891684,22.544109871821,-1.236422647808,-0.159894108632868,7,100,1.08,5,5,1,22.151997421811,22.0590594866629,0.008086294982651,0.030508359647505,7,100,0,1,6,Volei Renata,Minas,11,2018
12,2,1,1,24.3255768860809,21.6015519038872,1.69397977218847,1.91336220353388,4,100,-0.92,10,6,0,22.0732972721087,24.6737808003966,-1.60608021898964,-0.5589756002304,6,0,0,0,8,Sada Cruzeiro,Corinthians/Guarulhos,11,2018
13,8,11,0,21.0332916448557,23.9670620324785,-2.14578960847866,-1.37255748596547,7,0,2.358344097792,1,1,1,24.4604615088648,20.6145748564431,2.13068976282711,1.75101276037692,2,100,0,1,10,Maringa,Sada Cruzeiro,11,2018
14,4,2,1,23.4838737958282,22.3710854370223,1.02048234307584,0.359817967004896,6,100,-0.72,10,6,0,20.9919711510203,24.7390246403173,-1.88486417519171,-1.04718048018432,2,0,0,0,10,SESC-RJ,Corinthians/Guarulhos,11,2018
15,5,5,1,22.3715979374488,22.2972475893304,0.442345011643357,0.406469035986121,4,100,0,7,12,1,20.4133333333333,20.92,-0.28,0,6,50,0,0,10,Minas,Sao Judas,11,2018
