home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result,Home_AZS Czestochowa,Home_Bedzin,Home_Belchatow,Home_Bielsko-Biala,Home_Bydgoszcz,Home_Cuprum,Home_Czarni Radom,Home_GKS Katowice,Home_Gdansk,Home_Jastrzebski,Home_Kedzierzyn-Kozle,Home_Kielce,Home_Olsztyn,Home_Rzeszow,Home_Slepsk Suwalki,Home_Szczecin,Home_Verva Warszawa,Home_Wielun,Home_Zawiercie,Away_AZS Czestochowa,Away_Bedzin,Away_Belchatow,Away_Bielsko-Biala,Away_Bydgoszcz,Away_Cuprum,Away_Czarni Radom,Away_GKS Katowice,Away_Gdansk,Away_Jastrzebski,Away_Kedzierzyn-Kozle,Away_Kielce,Away_Olsztyn,Away_Rzeszow,Away_Slepsk Suwalki,Away_Szczecin,Away_Verva Warszawa,Away_Wielun,Away_Zawiercie
20.576,21.2176,21.116,19.83413333,4,7,10,5,0,1,0.016,0.312,0.52,-0.2,4,5,0.0,0,66.66666667,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.288,20.9584,19.94666667,20.5072,8,3,3,4,1,1,0.184,0.368,0.6,-0.04,5,5,0.0,0,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.37077333,21.0108,22.50314667,21.7428,6,5,6,10,0,0,-0.2736,-0.3872,0.6,-0.4,3,3,0.0,0,50.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.33106667,20.21536,22.80226667,21.39338667,10,9,7,8,0,1,-1.0592,-0.3664,0.2,-0.6,3,3,0.0,0,25.0,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.82408,20.8976,20.41730667,20.5728,5,1,5,1,1,1,0.6496,0.3152,0.44,0.08,3,3,0.0,0,50.0,75.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.68672,20.69453333,20.48576,22.018,2,7,4,8,1,1,0.4944,-0.1312,0.4,-0.6,2,3,0.0,0,75.0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22.112,21.1104,19.44053333,19.87733333,3,9,2,3,0,0,0.8112,-0.0528,0.88,-0.52,4,3,0.0,0,75.0,25.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.45562667,20.022288,22.2144,22.01470933,8,10,8,8,0,0,-0.5049600000000001,-0.69312,0.336,-0.88,4,4,0.0,0,40.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.08832,21.659264,20.85186667,21.33384533,7,5,3,5,1,0,0.35775999999999997,-0.08032,0.28,0.24,3,4,0.0,0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.71808,21.59661867,20.65824,22.80251733,1,6,1,6,1,0,0.85216,-0.61888,0.36,-0.792,4,4,0.0,0,80.0,40.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.60864,21.96485333,21.89424,22.09181333,5,10,10,7,1,1,0.09024,-0.44736000000000004,0.016,-1.264,4,4,0.0,0,60.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21.149376,22.6396,20.288608,20.75242667,2,4,4,2,1,0,0.79552,0.24896,0.72,0.28,5,4,0.0,0,80.0,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22.105216,22.374464,22.74011733,20.25992533,10,1,7,1,0,1,-0.957888,1.281728,0.56,0.664,3,3,0.0,0,33.33333333,83.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.43168,21.11450133,20.60194133,22.92152,4,8,2,8,0,0,-0.0008320000000000001,-0.803968,0.304,-0.88,2,3,0.0,0,50.0,33.33333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.01062827,22.420656,23.24201387,21.83149333,6,7,6,3,0,0,-1.095104,-0.113792,0.08,-0.016,3,3,0.0,0,33.33333333,33.33333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22.4774112,20.9195008,21.81707627,20.550886399999996,5,2,5,4,1,1,0.335744,0.8364159999999999,-0.248,0.168,4,3,0.0,0,50.0,83.33333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.167830399999996,22.35357867,22.36176747,22.04872533,9,5,8,10,1,1,-0.154496,0.672192,-0.008,0.08,5,5,0.0,0,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20.89160107,22.43286293,22.617216,21.73898027,8,3,8,10,0,1,-0.8431744000000001,0.9377536,-0.1312,0.46399999999999997,5,3,0.0,0,28.57142857,71.42857143,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.7365248,20.8841728,22.56519467,23.19209387,8,10,3,7,0,0,-0.49103359999999996,-1.3663104,-0.17600000000000002,-1.6112,6,6,0.0,0,28.57142857,28.57142857,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.225344,22.88192896,20.48155307,21.75366101,4,5,2,5,1,1,0.1993344,0.6685952,0.4432,0.5920000000000001,7,6,0.0,0,57.14285714,57.14285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.8995712,21.03426432,19.40794027,22.43941397,1,9,1,8,1,0,1.6253824,-0.5235968,0.888,-0.304,7,5,0.0,0,85.71428571,28.57142857,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.03560064,21.90850261,21.34070912,23.39361109,2,6,4,6,0,1,0.2691328,-0.47608320000000004,0.7759999999999999,-1.2336,7,7,0.0,0,71.42857143,42.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.84629035,23.31965696,22.39118421,19.39301888,4,1,10,1,0,1,0.35020288,1.90030592,0.6128,1.1312,7,7,0.0,0,62.5,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
