,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,11,11,0,19.8500424609611,23.7006187449958,-1.81834676224,-2.00361408805009,7,50,0.56,4,4,0,22.8312250464515,22.5311178110161,0.236064166744281,-0.174424563936778,7,50,0,0,7,Sao Jose dos Campos,Minas,11,2015
1,12,9,1,23.3531761221729,21.8237148444783,-0.21106359150681,0.585325727383442,7,50,0.08,10,10,0,22.007715078212,22.1617626834997,-0.137159159756042,-0.52436054016,7,50,0,1,9,JF Volei,Voleisul/Paqueta,11,2015
2,4,2,0,23.6377063509745,23.0981713273525,-0.620592950199766,0.113315899186894,7,50,-0.936,7,8,0,22.009032740721,23.8620644721595,-0.939783003901177,-0.487399811210137,7,50,0,1,9,Funvic,America Volei,11,2015
3,7,3,0,23.8808521987956,22.2878814110552,0.264813240739054,0.850493470590411,7,50,-1.73027072,10,7,0,22.4907243859789,24.1636702971885,-0.796575610772626,0.800911575980738,7,50,0,0,10,Sesi,Canoas,11,2015
4,10,7,0,21.1925795087831,24.3309362377508,-1.88149131288142,-1.2372604886181,2,0,1.5152,5,1,1,24.7480526089563,21.3288296876768,1.9150889812433,1.61631258715916,7,50,0,1,12,Canoas,Sada Cruzeiro,11,2015
5,5,10,1,22.6061720625696,20.9294101467997,-0.06386550784,0.490272672195166,4,100,-0.88,4,11,1,20.8800339687689,23.1604949959966,-1.00289127044008,-1.60559200256,6,100,0,0,13,Voleisul/Paqueta,Sao Jose dos Campos,11,2015
6,11,6,0,22.7409650203451,23.130505155334,-1.60241135561016,-0.272361820239345,7,50,-0.048,12,9,0,21.8825408977383,22.4589718755826,-0.131739418093246,0.296726316866154,4,0,0,0,13,Maringa,JF Volei,11,2015
7,4,8,1,21.9272261925768,23.2896515777276,-0.780410759206481,-0.551826403120942,4,100,0.79231744,3,3,1,24.1046817590365,21.0303051288442,1.28039477647233,1.85187670363653,3,100,0,0,13,America Volei,Sesi,11,2015
8,9,6,0,20,20,0,0,7,50,0,7,2,0,23.1101650807796,22.798537061882,-0.109347280650485,1.48089768097557,4,0,0,1,13,Bento Volei,Funvic,11,2015
9,10,4,0,22.4649800371612,23.0248942488129,0.93385383262585,-0.411148666604575,6,0,-1.06464,8,5,0,21.0435829227261,23.72811295523,-1.50093186716077,-0.072239813720458,7,50,0,1,13,Minas,Brasil Volei Clube,11,2015
