,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,6,6,0,22.5994743107032,23.0034474421494,-0.638126193863054,-0.556917399025444,7,50,-0.3309616128,7,7,0,20.8706127455407,23.3971825576842,-1.35399910009727,-0.226631290238578,7,50,0,0,15,Minas,JF Volei,10,2017
1,9,5,0,21.9629626109143,23.9548097716045,-1.82252446010041,-1.5826407338069,7,50,0.11912448,8,8,0,20.4497845063934,23.4860170339579,-1.25100836270345,-1.01157936546662,7,50,0,1,15,America Volei,Canoas,10,2017
2,5,3,0,22.5174203488504,22.8203529934026,0.10605251766681,-0.041134654271647,7,50,-1.95737841664,11,10,1,22.7540960315822,22.3970689338464,0.148977633516913,-0.030829520314593,7,50,0,0,15,Sesi,Maringa,10,2017
3,8,7,0,20,20,0,0,7,50,0,10,12,0,20.8958261756652,24.7073497847532,-2.21460460739463,-2.26793549824,7,50,0,0,15,Volei Renata,Ponta Grossa,10,2017
4,5,1,1,24.0968024061049,20.1633195665371,1.66370363828164,2.16461644158877,7,50,0,8,6,0,20,20,0,0,7,50,0,0,15,Sada Cruzeiro,Corinthians/Guarulhos,10,2017
5,12,7,0,20.6964901964325,23.6677460461473,-1.45780523265232,-1.48319928007782,6,0,0.892186112,9,5,0,22.1703700887315,24.2305144839503,-1.86611258704552,0.396655065287349,6,0,0,1,21,JF Volei,America Volei,10,2017
6,2,3,1,23.0139362790803,22.0562823947221,0.684842014133448,0.567092276582683,7,100,-0.88,10,12,0,20.8499942738655,24.7658798278026,-2.3716836859157,-2.414348398592,7,0,0,0,22,Sesi,Ponta Grossa,10,2017
7,11,10,0,22.0032768252657,22.9176551470771,-1.17923552587542,-0.48081789318647,7,0,1.8125184,8,2,0,23.311755367903,21.6089333911062,0.817980568565527,1.83191708668029,7,50,0,1,22,Maringa,Funvic,10,2017
8,8,2,0,20,20,0,0,7,50,0,2,1,1,24.477441924884,20.4306556532297,2.13169315327102,2.43553034413287,7,100,0,1,22,SESC-RJ,Sada Cruzeiro,10,2017
9,6,8,1,21.4264942717814,23.3888136271663,-0.904398078951984,-0.400806690162763,7,100,0,5,7,1,21,20.1333333333333,0.6,0,7,100,0,0,22,Canoas,Volei Renata,10,2017
10,5,6,1,23.0295794485626,22.4027579537195,-0.110500955090444,-0.045533919220356,7,100,0,9,6,0,20.3,21.2,-0.4,-0.4,7,0,0,1,22,Minas,Corinthians/Guarulhos,10,2017
11,2,3,1,23.2611490232643,21.9950259157776,0.947873611306758,0.853673821266146,5,100,1.31116495856333,1,1,1,24.6219535399072,20.5845245225837,1.90535452261682,2.1484242753063,5,100,0,1,27,Sesi,Sada Cruzeiro,10,2017
12,7,7,0,20.8666666666667,21.1066666666667,0.6,-0.12,7,50,0,12,7,0,20.957192157146,23.8341968369179,-1.58655942406225,-0.581305032190862,7,0,0,0,29,Volei Renata,JF Volei,10,2017
13,2,3,0,23.2589192186114,22.4460207326221,0.358298889045407,0.282939057012917,2,66.6666666666667,-2.023918886912,4,8,1,22.1411954174251,22.7777175683997,0.27935464786979,-0.209263492373297,7,100,0,0,29,Sesi,Canoas,10,2017
14,1,1,1,24.5475628319257,21.117619618067,1.73096291062532,1.92428361809345,2,100,-2.5599126528,11,10,0,21.2692881268793,23.3341241176617,-0.984654314549176,-0.624663616251675,7,0,0,0,29,Sada Cruzeiro,Maringa,10,2017
15,5,2,1,23.6494042943224,20.9538133795516,0.596098917424797,1.25438445485242,7,100,-1.08,10,12,0,21.0299954190924,24.6627038622421,-2.29734694873256,-2.3314787188736,7,0,0,0,29,Funvic,Ponta Grossa,10,2017
16,8,5,1,22.6362960709852,23.7844115871602,-2.05801956808033,-1.09289006963642,7,50,0.3478704840704,6,6,0,22.6236635588501,22.0422063629756,-0.236427135376284,0.228770792011415,7,50,0,1,29,America Volei,Minas,10,2017
17,7,6,1,20.36,21.16,0,-0.12,7,50,0,9,2,0,20.24,21.04,-0.2,0,7,0,0,1,29,Corinthians/Guarulhos,SESC-RJ,10,2017
18,1,1,1,24.1380502655406,20.7940956944536,1.78477032850025,1.93942689447476,4,100,-0.954182656,3,2,1,23.8195234354579,20.5130507036413,1.40350756388194,2.06553366934423,4,100,0,1,2,Sada Cruzeiro,Funvic,11,2017
19,11,10,0,20.9154305015034,23.1672992941294,-1.54338842070034,-1.18772345163934,5,0,0,7,2,1,20.992,21.082,0.24,0.4,5,50,0,1,3,Maringa,SESC-RJ,11,2017
