,Date,away_team,home_team,month,year
0,12,Volei Futuro,Minas,1,2012
1,12,Volta Redonda,Medley,1,2012
2,12,Sesi,America Volei,1,2012
3,12,JF Volei,Londrina,1,2012
4,12,Sada Cruzeiro,Cimed,1,2012
5,14,Sao Bernardo,Londrina,1,2012
6,15,Minas,Sada Cruzeiro,1,2012
7,15,Volei Futuro,RJX,1,2012
8,15,America Volei,Volta Redonda,1,2012
9,15,Medley,JF Volei,1,2012
10,15,Cimed,Sesi,1,2012
11,19,Sesi,Minas,1,2012
12,19,Sao Bernardo,Medley,1,2012
13,19,JF Volei,America Volei,1,2012
14,19,Sada Cruzeiro,Volei Futuro,1,2012
15,19,RJX,Londrina,1,2012
16,19,Volta Redonda,Cimed,1,2012
17,21,Volei Futuro,Sesi,1,2012
18,21,America Volei,Sao Bernardo,1,2012
19,21,Sada Cruzeiro,RJX,1,2012
20,22,Minas,Volta Redonda,1,2012
21,22,Medley,Londrina,1,2012
22,22,Cimed,JF Volei,1,2012
23,25,Sesi,Sada Cruzeiro,1,2012
24,26,JF Volei,Minas,1,2012
25,26,RJX,Medley,1,2012
26,26,Londrina,America Volei,1,2012
27,26,Volta Redonda,Volei Futuro,1,2012
28,26,Sao Bernardo,Cimed,1,2012
29,28,Sesi,RJX,1,2012
30,28,Sao Bernardo,Minas,1,2012
31,29,Volta Redonda,Sada Cruzeiro,1,2012
32,29,JF Volei,Volei Futuro,1,2012
33,29,Londrina,Cimed,1,2012
34,31,Medley,America Volei,1,2012
35,2,Volta Redonda,Sesi,2,2012
36,2,Volei Futuro,Sao Bernardo,2,2012
37,2,America Volei,RJX,2,2012
38,2,Cimed,Medley,2,2012
39,2,Minas,Londrina,2,2012
40,2,Sada Cruzeiro,JF Volei,2,2012
41,4,Londrina,Volei Futuro,2,2012
42,4,America Volei,Cimed,2,2012
43,4,Medley,Minas,2,2012
44,5,JF Volei,Sesi,2,2012
45,5,Sao Bernardo,Sada Cruzeiro,2,2012
46,5,Volta Redonda,RJX,2,2012
47,8,Sesi,Sao Bernardo,2,2012
48,9,Volta Redonda,JF Volei,2,2012
49,9,Volei Futuro,Medley,2,2012
50,9,Minas,America Volei,2,2012
51,9,Cimed,RJX,2,2012
52,9,Sada Cruzeiro,Londrina,2,2012
53,11,Cimed,Minas,2,2012
54,11,America Volei,Volei Futuro,2,2012
55,12,Londrina,Sesi,2,2012
56,12,Medley,Sada Cruzeiro,2,2012
57,12,JF Volei,RJX,2,2012
58,12,Sao Bernardo,Volta Redonda,2,2012
59,16,Sesi,Medley,2,2012
60,16,Sada Cruzeiro,America Volei,2,2012
61,17,JF Volei,Sao Bernardo,2,2012
62,17,RJX,Minas,2,2012
63,17,Volta Redonda,Londrina,2,2012
64,17,Volei Futuro,Cimed,2,2012
65,25,Sao Bernardo,RJX,2,2012
66,25,Minas,Volei Futuro,2,2012
67,25,America Volei,Sesi,2,2012
68,26,Medley,Volta Redonda,2,2012
69,26,Londrina,JF Volei,2,2012
70,26,Cimed,Sada Cruzeiro,2,2012
71,29,Sesi,Cimed,2,2012
72,1,Londrina,Sao Bernardo,3,2012
73,1,JF Volei,Medley,3,2012
74,1,Volta Redonda,America Volei,3,2012
75,1,RJX,Volei Futuro,3,2012
76,1,Sada Cruzeiro,Minas,3,2012
77,3,Minas,Sesi,3,2012
78,4,Medley,Sao Bernardo,3,2012
79,4,Londrina,RJX,3,2012
80,4,Cimed,Volta Redonda,3,2012
81,4,America Volei,JF Volei,3,2012
82,4,Volei Futuro,Sada Cruzeiro,3,2012
83,7,Sesi,Volei Futuro,3,2012
84,8,Sao Bernardo,America Volei,3,2012
85,8,Volta Redonda,Minas,3,2012
86,8,Londrina,Medley,3,2012
87,8,RJX,Sada Cruzeiro,3,2012
88,8,JF Volei,Cimed,3,2012
89,11,Volei Futuro,Volta Redonda,3,2012
90,11,Sada Cruzeiro,Sesi,3,2012
91,11,Cimed,Sao Bernardo,3,2012
92,11,Medley,RJX,3,2012
93,11,America Volei,Londrina,3,2012
94,11,Minas,JF Volei,3,2012
95,17,Sao Bernardo,Sada Cruzeiro,3,2012
96,18,Minas,Cimed,3,2012
97,18,RJX,Sesi,3,2012
98,19,Medley,Volei Futuro,3,2012
99,24,Sada Cruzeiro,Sao Bernardo,3,2012
100,24,Cimed,Minas,3,2012
101,24,Sesi,RJX,3,2012
102,25,Volei Futuro,Medley,3,2012
103,31,Minas,Cimed,3,2012
104,31,Sao Bernardo,Sada Cruzeiro,3,2012
105,4,RJX,Volei Futuro,4,2012
106,4,Minas,Sada Cruzeiro,4,2012
107,7,Sada Cruzeiro,Minas,4,2012
108,8,Volei Futuro,RJX,4,2012
109,14,RJX,Volei Futuro,4,2012
110,21,Volei Futuro,Sada Cruzeiro,4,2012
