,Date,away_team,home_team,month,year
0,27,Sada Cruzeiro,UM Itapetininga,10,2018
1,27,Sesi,Volei Ribeirao,10,2018
2,28,Sao Judas,Volei Renata,10,2018
3,28,SESC-RJ,Maringa,10,2018
4,28,Minas,Corinthians/Guarulhos,10,2018
5,28,Funvic,Ponta Grossa,10,2018
6,2,Maringa,Sesi,11,2018
7,2,Corinthians/Guarulhos,Funvic,11,2018
8,4,Sao Judas,UM Itapetininga,11,2018
9,4,Volei Ribeirao,Sada Cruzeiro,11,2018
10,4,Ponta Grossa,SESC-RJ,11,2018
11,6,Volei Renata,Minas,11,2018
12,8,Sada Cruzeiro,Corinthians/Guarulhos,11,2018
13,10,Maringa,Sada Cruzeiro,11,2018
14,10,SESC-RJ,Corinthians/Guarulhos,11,2018
15,10,Minas,Sao Judas,11,2018
16,11,UM Itapetininga,Volei Ribeirao,11,2018
17,11,Funvic,Volei Renata,11,2018
18,11,Sesi,Ponta Grossa,11,2018
19,17,Ponta Grossa,Sada Cruzeiro,11,2018
20,18,Maringa,Volei Ribeirao,11,2018
21,18,Minas,UM Itapetininga,11,2018
22,18,Sao Judas,Funvic,11,2018
23,18,Volei Renata,SESC-RJ,11,2018
24,18,Corinthians/Guarulhos,Sesi,11,2018
25,22,UM Itapetininga,Maringa,11,2018
26,22,Funvic,Minas,11,2018
27,22,SESC-RJ,Sao Judas,11,2018
28,22,Volei Ribeirao,Ponta Grossa,11,2018
29,23,Sesi,Volei Renata,11,2018
30,25,Corinthians/Guarulhos,Volei Ribeirao,11,2018
31,25,Sao Judas,Sesi,11,2018
32,25,Ponta Grossa,Maringa,11,2018
33,25,Minas,SESC-RJ,11,2018
34,1,UM Itapetininga,Ponta Grossa,12,2018
35,1,Sesi,Minas,12,2018
36,2,Volei Ribeirao,Volei Renata,12,2018
37,2,Maringa,Corinthians/Guarulhos,12,2018
38,2,SESC-RJ,Funvic,12,2018
39,7,Sao Judas,Volei Ribeirao,12,2018
40,9,Corinthians/Guarulhos,Ponta Grossa,12,2018
41,9,Funvic,Sesi,12,2018
42,9,SESC-RJ,UM Itapetininga,12,2018
43,9,Volei Renata,Maringa,12,2018
44,9,Sada Cruzeiro,Minas,12,2018
