,Date,away_team,home_team,month,year
108,23,Sao Bernardo,Funvic,2,2017
109,23,Maringa,Canoas,2,2017
110,23,JF Volei,Bento Volei,2,2017
111,24,Brasil Volei Clube,Sesi,2,2017
112,3,America Volei,Sada Cruzeiro,3,2017
113,4,Canoas,Sao Bernardo,3,2017
114,5,Minas,Maringa,3,2017
115,5,America Volei,JF Volei,3,2017
116,5,Funvic,Brasil Volei Clube,3,2017
117,5,Bento Volei,Ponta Grossa,3,2017
118,5,Sesi,Sada Cruzeiro,3,2017
119,9,Ponta Grossa,America Volei,3,2017
120,9,Bento Volei,Maringa,3,2017
121,9,Canoas,Minas,3,2017
122,9,Sada Cruzeiro,Funvic,3,2017
123,9,Sao Bernardo,Brasil Volei Clube,3,2017
124,10,JF Volei,Sesi,3,2017
125,12,Minas,Sao Bernardo,3,2017
126,12,Brasil Volei Clube,Sada Cruzeiro,3,2017
127,12,Sesi,Ponta Grossa,3,2017
128,12,America Volei,Maringa,3,2017
129,12,Funvic,JF Volei,3,2017
130,12,Bento Volei,Canoas,3,2017
131,18,Canoas,Sada Cruzeiro,3,2017
132,18,Minas,Sesi,3,2017
133,19,Funvic,JF Volei,3,2017
134,19,Brasil Volei Clube,America Volei,3,2017
135,23,Sesi,Minas,3,2017
136,23,Sada Cruzeiro,Canoas,3,2017
137,24,JF Volei,Funvic,3,2017
138,25,America Volei,Brasil Volei Clube,3,2017
139,26,Canoas,Sada Cruzeiro,3,2017
140,27,Minas,Sesi,3,2017
141,28,JF Volei,Funvic,3,2017
142,31,America Volei,Brasil Volei Clube,3,2017
143,7,Sesi,Funvic,4,2017
144,9,Brasil Volei Clube,Sada Cruzeiro,4,2017
145,14,Sada Cruzeiro,Brasil Volei Clube,4,2017
146,16,Funvic,Sesi,4,2017
147,22,Sesi,Funvic,4,2017
148,23,Brasil Volei Clube,Sada Cruzeiro,4,2017
149,28,Funvic,Sesi,4,2017
150,7,Funvic,Sada Cruzeiro,5,2016
