,Date,away_team,home_team,month,year
0,15,Minas,JF Volei,10,2017
1,15,America Volei,Canoas,10,2017
2,15,Sesi,Maringa,10,2017
3,15,Volei Renata,Ponta Grossa,10,2017
4,15,Sada Cruzeiro,Corinthians/Guarulhos,10,2017
5,21,JF Volei,America Volei,10,2017
6,22,Sesi,Ponta Grossa,10,2017
7,22,Maringa,Funvic,10,2017
8,22,SESC-RJ,Sada Cruzeiro,10,2017
9,22,Canoas,Volei Renata,10,2017
10,22,Minas,Corinthians/Guarulhos,10,2017
11,27,Sesi,Sada Cruzeiro,10,2017
12,29,Volei Renata,JF Volei,10,2017
13,29,Sesi,Canoas,10,2017
14,29,Sada Cruzeiro,Maringa,10,2017
15,29,Funvic,Ponta Grossa,10,2017
16,29,America Volei,Minas,10,2017
17,29,Corinthians/Guarulhos,SESC-RJ,10,2017
18,2,Sada Cruzeiro,Funvic,11,2017
19,3,Maringa,SESC-RJ,11,2017
20,4,Sada Cruzeiro,Ponta Grossa,11,2017
21,4,America Volei,Corinthians/Guarulhos,11,2017
22,4,Minas,Volei Renata,11,2017
23,5,JF Volei,Sesi,11,2017
24,5,Canoas,Funvic,11,2017
25,9,Sada Cruzeiro,Canoas,11,2017
26,9,Corinthians/Guarulhos,Maringa,11,2017
27,9,SESC-RJ,Ponta Grossa,11,2017
28,9,Sesi,Minas,11,2017
29,9,JF Volei,Funvic,11,2017
30,9,Volei Renata,America Volei,11,2017
31,11,Sada Cruzeiro,JF Volei,11,2017
32,12,Ponta Grossa,Maringa,11,2017
33,12,Canoas,SESC-RJ,11,2017
34,12,Minas,Funvic,11,2017
35,12,America Volei,Sesi,11,2017
36,13,Volei Renata,Corinthians/Guarulhos,11,2017
37,19,Sada Cruzeiro,Minas,11,2017
38,19,Sesi,Volei Renata,11,2017
39,19,SESC-RJ,JF Volei,11,2017
40,19,Funvic,America Volei,11,2017
41,21,Maringa,Canoas,11,2017
42,22,Corinthians/Guarulhos,Ponta Grossa,11,2017
43,24,SESC-RJ,Minas,11,2017
