,Date,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,month,result,year
0,3,4,4,0,Kedzierzyn-Kozle,20.0,20.0,0.0,0.0,-2647,50.0,0.0,11,11,0,AZS Czestochowa,20.0,20.0,0.0,0.0,-2647,50.0,0,10,0,2010
1,4,3,2,0,Belchatow,20.0,20.0,0.0,0.0,-2646,50.0,0.0,14,14,0,Bedzin,20.0,20.0,0.0,0.0,-2646,50.0,0,10,0,2010
2,4,11,12,0,Bielsko-Biala,20.0,20.0,0.0,0.0,-2646,50.0,0.0,5,3,0,Jastrzebski,20.0,20.0,0.0,0.0,-2646,50.0,0,10,1,2010
3,4,9,7,0,Verva Warszawa,20.0,20.0,0.0,0.0,-2646,50.0,0.0,7,9,0,Bydgoszcz,20.0,20.0,0.0,0.0,-2646,50.0,0,10,0,2010
4,5,10,5,0,Olsztyn,20.0,20.0,0.0,0.0,-2645,50.0,0.0,6,10,0,Gdansk,20.0,20.0,0.0,0.0,-2645,50.0,0,10,1,2010
5,5,9,6,0,Czarni Radom,20.0,20.0,0.0,0.0,-2645,50.0,0.0,12,8,0,Kielce,20.0,20.0,0.0,0.0,-2645,50.0,0,10,0,2010
6,6,7,1,0,Rzeszow,20.0,20.0,0.0,0.0,-2644,50.0,0.0,8,5,0,Cuprum,20.0,20.0,0.0,0.0,-2644,50.0,0,10,0,2010
7,10,5,4,1,Kedzierzyn-Kozle,21.0,19.933333333333334,0.6000000000000001,0.6000000000000001,7,100.0,0.0,3,10,1,Gdansk,20.5,20.1,0.4,0.4,5,100.0,0,10,1,2010
8,10,3,2,1,Belchatow,20.9,19.85,0.4,0.4,6,100.0,0.0,8,5,0,Cuprum,19.95,20.75,-0.4,-0.4,4,0.0,0,10,0,2010
9,11,9,9,0,Bydgoszcz,20.08,20.36,0.0,-0.2,7,0.0,0.0,10,5,0,Olsztyn,20.1,20.5,-0.4,0.0,6,0.0,0,10,0,2010
10,11,11,12,0,Bielsko-Biala,19.933333333333334,21.0,-0.6000000000000001,-0.6000000000000001,7,0.0,0.0,3,1,1,Rzeszow,20.75,19.95,0.4,0.0,5,100.0,0,10,1,2010
11,11,13,11,0,AZS Czestochowa,19.933333333333334,21.0,0.0,-0.6000000000000001,7,0.0,0.0,4,3,1,Jastrzebski,21.0,19.933333333333334,0.6000000000000001,0.6000000000000001,7,100.0,0,10,1,2010
12,11,14,14,0,Bedzin,19.85,20.9,0.0,-0.4,7,0.0,0.0,7,6,1,Czarni Radom,21.0,19.933333333333334,0.6000000000000001,0.0,6,100.0,0,10,1,2010
13,11,12,8,0,Kielce,19.933333333333334,21.0,0.0,-0.6000000000000001,6,0.0,0.0,8,7,1,Verva Warszawa,20.36,20.08,0.2,0.0,7,100.0,0,10,1,2010
14,15,14,14,0,Bedzin,19.94666666666667,21.72,-0.6000000000000001,-0.9200000000000002,4,0.0,0.0,1,1,1,Rzeszow,21.6,19.76,0.9200000000000002,0.6000000000000001,4,100.0,0,10,1,2010
15,15,11,12,0,Bielsko-Biala,19.746666666666666,21.8,-1.08,-1.08,4,0.0,0.0,10,5,0,Olsztyn,19.800000000000004,20.6,-0.52,-0.2,4,0.0,0,10,1,2010
16,15,7,9,1,Bydgoszcz,20.264,20.008000000000003,0.2,0.03999999999999998,4,50.0,0.0,12,8,0,Kielce,20.266666666666666,20.84,-0.6800000000000002,-0.6000000000000001,4,0.0,0,10,0,2010
17,15,2,2,1,Belchatow,21.72,19.680000000000003,0.9200000000000002,0.9200000000000002,5,100.0,0.0,4,3,1,Jastrzebski,21.36,19.746666666666666,0.6800000000000002,0.6800000000000002,4,100.0,0,10,0,2010
18,15,3,10,1,Gdansk,21.400000000000002,19.94666666666667,0.0,0.9200000000000002,5,100.0,0.0,6,6,1,Czarni Radom,21.8,20.013333333333335,1.08,0.6000000000000001,4,100.0,0,10,0,2010
19,15,10,5,0,Cuprum,19.76,21.6,0.0,-0.9200000000000002,5,0.0,0.0,8,4,0,Kedzierzyn-Kozle,20.666666666666668,20.946666666666665,-0.12,0.0,5,50.0,0,10,0,2010
20,16,13,11,0,AZS Czestochowa,19.746666666666666,21.36,-0.2,-0.6800000000000002,5,0.0,0.0,7,7,1,Verva Warszawa,20.328,20.384,0.36000000000000004,0.2,5,100.0,0,10,1,2010
21,18,5,3,0,Jastrzebski,21.421333333333337,20.797333333333334,0.0,-0.05599999999999994,3,66.66666666666666,0.0,1,1,1,Rzeszow,22.03,20.208000000000002,1.1360000000000001,0.8800000000000001,3,100.0,0,10,1,2010
22,18,7,6,0,Czarni Radom,21.44,20.45066666666667,0.6000000000000001,0.6640000000000001,3,66.66666666666666,0.0,13,11,0,AZS Czestochowa,20.264000000000003,22.288,-1.1440000000000001,-0.6000000000000001,2,0.0,0,10,1,2010
23,18,10,5,1,Olsztyn,20.280000000000005,20.64,-0.4,-0.21600000000000003,3,33.33333333333333,0.0,8,5,1,Cuprum,20.248,21.520000000000003,-0.5360000000000003,-0.9200000000000002,3,33.33333333333333,0,10,1,2010
24,18,7,9,1,Bydgoszcz,21.2112,20.139733333333336,0.7600000000000001,0.6320000000000001,3,66.66666666666666,0.0,14,14,0,Bedzin,20.357333333333337,22.126,-1.1360000000000001,-0.4,3,0.0,0,10,0,2010
25,19,9,4,0,Kedzierzyn-Kozle,20.773333333333333,21.197333333333333,-0.12,-0.29600000000000004,4,33.33333333333333,0.0,2,2,1,Belchatow,22.376,20.077333333333335,1.3360000000000003,0.0,4,100.0,0,10,1,2010
26,19,13,8,0,Kielce,20.346666666666668,21.672,-0.2,-1.1440000000000001,4,0.0,0.0,3,10,1,Gdansk,21.560000000000002,19.957333333333338,0.9360000000000002,0.9200000000000002,4,100.0,0,10,1,2010
