,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,26,10,2019,Olsztyn,Czarni Radom,20.0,20.0,20.0,20.0,9,5,9,5,0,0,0.0,0.0,0.0,0.0,7,7,0.0,0,50.0,50.0,1
1,26,10,2019,Cuprum,Zawiercie,20.0,20.0,20.0,20.0,12,10,12,4,0,0,0.0,0.0,0.0,0.0,7,7,0.0,0,50.0,50.0,0
2,26,10,2019,Verva Warszawa,Bedzin,20.0,20.0,20.0,20.0,4,11,2,13,0,0,0.0,0.0,0.0,0.0,7,7,0.0,0,50.0,50.0,1
3,27,10,2019,Bydgoszcz,Jastrzebski,20.0,20.0,20.0,20.0,14,6,11,3,0,0,0.0,0.0,0.0,0.0,7,7,0.0,0,50.0,50.0,0
4,27,10,2019,GKS Katowice,Rzeszow,20.0,20.0,20.0,20.0,8,13,8,7,0,0,0.0,0.0,0.0,0.0,7,7,0.0,0,50.0,50.0,1
5,27,10,2019,Gdansk,Belchatow,20.0,20.0,20.0,20.0,8,7,10,6,0,0,0.0,0.0,0.0,0.0,7,7,0.0,0,50.0,50.0,0
6,30,10,2019,Rzeszow,Slepsk Suwalki,20.12,20.0,20.240000000000002,20.0,13,10,7,9,0,0,-0.2,0.0,0.0,0.0,3,7,0.0,0,0.0,50.0,0
7,30,10,2019,Jastrzebski,Cuprum,21.0,20.240000000000002,19.933333333333334,20.36,3,12,3,12,1,0,0.6000000000000001,-0.2,0.0,0.0,3,4,0.0,0,100.0,0.0,1
8,30,10,2019,Bydgoszcz,Verva Warszawa,19.933333333333334,20.65,21.0,20.45,14,2,11,2,0,1,-0.6000000000000001,0.4,-0.6000000000000001,0.0,3,4,0.0,0,0.0,100.0,0
9,30,10,2019,Belchatow,GKS Katowice,20.9,20.240000000000002,20.25,20.12,3,4,6,8,1,1,0.4,0.2,0.0,0.0,3,3,0.0,0,100.0,100.0,1
