,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,30,10,2015,Kielce,Belchatow,20.0,20.0,20.0,20.0,12,2,12,2,0,0,0.0,0.0,0.0,0.0,-794,-794,0.0,0,50.0,50.0,0
1,30,10,2015,Bielsko-Biala,Gdansk,20.0,20.0,20.0,20.0,11,4,11,3,0,0,0.0,0.0,0.0,0.0,-794,-794,0.0,0,50.0,50.0,0
2,30,10,2015,AZS Czestochowa,Rzeszow,20.0,20.0,20.0,20.0,12,4,13,1,0,0,0.0,0.0,0.0,0.0,-794,-794,0.0,0,50.0,50.0,0
3,30,10,2015,Verva Warszawa,Cuprum,20.0,20.0,20.0,20.0,8,5,9,5,0,0,0.0,0.0,0.0,0.0,-794,-794,0.0,0,50.0,50.0,1
4,31,10,2015,Bedzin,Jastrzebski,20.0,20.0,20.0,20.0,14,8,14,4,0,0,0.0,0.0,0.0,0.0,-793,-793,0.0,0,50.0,50.0,0
5,2,11,2015,Czarni Radom,Kedzierzyn-Kozle,20.0,20.0,20.0,20.0,8,6,8,7,0,0,0.0,0.0,0.0,0.0,-791,-791,0.0,0,50.0,50.0,0
6,3,11,2015,Olsztyn,Bydgoszcz,20.0,20.0,20.0,20.0,9,10,10,6,0,0,0.0,0.0,0.0,0.0,-790,-790,0.0,0,50.0,50.0,1
7,6,11,2015,Kedzierzyn-Kozle,Verva Warszawa,20.36,20.36,19.92,20.0,1,6,7,9,1,1,0.2,0.2,0.0,0.0,4,7,0.0,0,100.0,100.0,1
8,7,11,2015,Bydgoszcz,Czarni Radom,20.3,19.92,20.9,20.36,10,9,6,8,0,0,-0.4,-0.2,0.0,0.0,4,5,0.0,0,0.0,0.0,0
9,7,11,2015,Belchatow,Bedzin,20.85,20.4,20.05,20.6,3,14,2,14,1,0,0.4,-0.2,0.0,0.0,7,7,0.0,0,100.0,0.0,1
10,7,11,2015,Rzeszow,Bielsko-Biala,21.0,19.84,20.45,20.08,3,11,1,11,1,0,0.4,-0.2,0.0,0.0,7,7,0.0,0,100.0,0.0,1
11,7,11,2015,Kielce,Gdansk,20.05,20.08,20.85,19.84,13,4,12,3,0,1,-0.4,0.2,-0.4,0.2,7,7,0.0,0,0.0,100.0,0
12,7,11,2015,Cuprum,AZS Czestochowa,20.0,20.45,20.36,21.0,9,12,5,13,0,0,-0.2,-0.4,0.0,0.0,7,7,0.0,0,0.0,0.0,1
13,8,11,2015,Jastrzebski,Olsztyn,20.6,20.9,20.4,20.3,7,9,4,10,1,1,0.2,0.4,0.0,0.0,7,5,0.0,0,100.0,100.0,1
14,10,11,2015,Cuprum,Olsztyn,20.16,21.0,20.328,20.560000000000002,6,9,5,10,1,0,0.03999999999999998,0.12000000000000005,0.2,-0.2,3,2,0.0,0,50.0,50.0,1
15,11,11,2015,Verva Warszawa,Czarni Radom,20.621333333333332,20.936,21.2,19.154666666666667,8,7,9,8,0,1,-0.44000000000000006,0.44000000000000006,0.2,0.6000000000000001,5,4,0.0,0,50.0,50.0,0
16,11,11,2015,Belchatow,Rzeszow,21.680000000000003,21.8,19.773333333333337,20.093333333333334,3,2,2,1,1,1,0.9200000000000002,0.9200000000000002,0.6000000000000001,0.4,4,4,0.0,0,100.0,100.0,0
17,11,11,2015,Kedzierzyn-Kozle,Bedzin,21.488,20.053333333333335,20.269333333333336,21.48,2,14,7,14,1,0,0.7600000000000001,-0.7600000000000001,0.6000000000000001,-0.6000000000000001,5,4,0.0,0,100.0,0.0,1
18,11,11,2015,Bydgoszcz,Kielce,19.10666666666667,19.790000000000003,21.72,21.580000000000005,10,13,6,12,0,0,-0.9200000000000002,-0.7200000000000001,-0.6000000000000001,0.0,4,4,0.0,0,0.0,0.0,1
19,11,11,2015,Jastrzebski,Bielsko-Biala,20.8,19.605333333333334,20.6,21.064,7,11,4,11,1,0,0.36000000000000004,-0.7600000000000001,0.2,-0.6000000000000001,3,4,0.0,0,100.0,0.0,0
20,11,11,2015,AZS Czestochowa,Gdansk,20.4,20.964,20.96,19.622,12,4,13,3,0,1,-0.52,0.56,-0.4,0.56,4,4,0.0,0,0.0,100.0,0
21,13,11,2015,Bielsko-Biala,Bydgoszcz,19.72426666666667,20.135333333333335,21.131200000000003,21.676000000000002,11,10,11,6,1,1,-0.4080000000000001,-0.3360000000000002,-0.2,-0.4,2,2,0.0,0,33.33333333333333,33.33333333333333,0
22,14,11,2015,Belchatow,Gdansk,21.744000000000007,21.5212,20.36866666666667,19.797600000000003,4,3,2,3,0,1,0.3360000000000002,0.8480000000000001,0.08000000000000007,0.8480000000000001,3,3,0.0,0,66.66666666666666,100.0,1
