,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,6,10,2012,Rzeszow,Olsztyn,20.0,20.0,20.0,20.0,3,9,3,9,0,0,0.0,0.0,0.0,0.0,-1913,-1913,0.0,0,50.0,50.0,1
1,6,10,2012,Kedzierzyn-Kozle,Verva Warszawa,20.0,20.0,20.0,20.0,3,6,2,8,0,0,0.0,0.0,0.0,0.0,-1913,-1913,0.0,0,50.0,50.0,1
2,6,10,2012,Jastrzebski,Kielce,20.0,20.0,20.0,20.0,4,7,5,7,0,0,0.0,0.0,0.0,0.0,-1913,-1913,0.0,0,50.0,50.0,1
3,6,10,2012,Bydgoszcz,AZS Czestochowa,20.0,20.0,20.0,20.0,4,10,4,6,0,0,0.0,0.0,0.0,0.0,-1913,-1913,0.0,0,50.0,50.0,1
4,7,10,2012,Belchatow,Gdansk,20.0,20.0,20.0,20.0,5,8,1,10,0,0,0.0,0.0,0.0,0.0,-1912,-1912,0.0,0,50.0,50.0,1
5,9,10,2012,Rzeszow,Belchatow,21.0,21.0,20.0,19.866666666666667,4,5,3,1,1,1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,3,2,0.0,0,100.0,100.0,1
6,13,10,2012,Olsztyn,AZS Czestochowa,20.0,19.933333333333334,21.0,21.0,9,10,9,6,0,0,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,7,7,0.0,0,0.0,0.0,1
7,14,10,2012,Gdansk,Kedzierzyn-Kozle,19.866666666666667,20.7,21.0,20.3,9,3,10,2,0,1,-0.6000000000000001,0.4,0.0,0.0,7,7,0.0,0,0.0,100.0,0
8,14,10,2012,Verva Warszawa,Jastrzebski,20.3,21.133333333333333,20.7,20.133333333333333,7,4,8,5,0,1,-0.4,0.6000000000000001,0.0,0.0,7,7,0.0,0,0.0,100.0,1
9,16,10,2012,Kielce,Bydgoszcz,20.133333333333333,21.0,21.133333333333333,19.933333333333334,8,3,7,4,0,1,-0.6000000000000001,0.6000000000000001,0.0,0.0,7,7,0.0,0,0.0,100.0,0
10,19,10,2012,Kedzierzyn-Kozle,Rzeszow,21.89333333333333,20.92,20.506666666666668,20.08,2,3,2,3,1,1,0.9200000000000002,0.6800000000000002,0.4,0.0,5,7,0.0,0,100.0,100.0,1
