,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,29,9,2017,Cuprum,Bedzin,20.0,20.0,20.0,20.0,6,11,6,11,0,0,0.0,0.0,0.0,0.0,-94,-94,0.0,0,50.0,50.0,1
1,30,9,2017,Olsztyn,Szczecin,20.0,20.0,20.0,20.0,6,12,5,12,0,0,0.0,0.0,0.0,0.0,-93,-93,0.0,0,50.0,50.0,1
2,30,9,2017,Rzeszow,Kielce,20.0,20.0,20.0,20.0,6,16,2,13,0,0,0.0,0.0,0.0,0.0,-93,-93,0.0,0,50.0,50.0,1
3,30,9,2017,Czarni Radom,GKS Katowice,20.0,20.0,20.0,20.0,9,11,8,10,0,0,0.0,0.0,0.0,0.0,-93,-93,0.0,0,50.0,50.0,0
4,1,10,2017,Bydgoszcz,Verva Warszawa,20.0,20.0,20.0,20.0,14,9,15,9,0,0,0.0,0.0,0.0,0.0,-92,-92,0.0,0,50.0,50.0,0
5,1,10,2017,Zawiercie,Kedzierzyn-Kozle,20.0,20.0,20.0,20.0,11,6,10,1,0,0,0.0,0.0,0.0,0.0,-92,-92,0.0,0,50.0,50.0,0
6,4,10,2017,Szczecin,Cuprum,20.25,21.133333333333333,20.75,19.733333333333334,12,5,12,6,0,1,-0.4,0.6000000000000001,0.0,0.0,4,5,0.0,0,0.0,100.0,0
7,4,10,2017,Kielce,Olsztyn,19.866666666666667,20.75,21.0,20.25,16,4,13,5,0,1,-0.6000000000000001,0.4,0.0,0.0,4,4,0.0,0,0.0,100.0,0
8,4,10,2017,Gdansk,Verva Warszawa,20.0,21.0,20.0,19.866666666666667,8,5,7,9,0,1,0.0,0.6000000000000001,0.0,0.6000000000000001,-89,3,0.0,0,50.0,100.0,1
9,4,10,2017,Bielsko-Biala,Rzeszow,20.0,21.0,20.0,19.866666666666667,15,5,14,2,0,1,0.0,0.6000000000000001,0.0,0.0,-89,4,0.0,0,50.0,100.0,0
10,4,10,2017,Bedzin,Czarni Radom,19.733333333333334,19.95,21.133333333333333,20.7,13,10,11,8,0,0,-0.6000000000000001,-0.4,0.0,0.0,5,4,0.0,0,0.0,0.0,0
11,5,10,2017,GKS Katowice,Bydgoszcz,20.7,19.866666666666667,19.95,21.0,8,14,10,15,1,0,0.4,-0.6000000000000001,0.0,0.0,5,4,0.0,0,100.0,0.0,0
12,7,10,2017,Rzeszow,Kedzierzyn-Kozle,21.450000000000003,20.7,20.443333333333335,20.35,1,4,2,1,1,1,0.8800000000000001,0.4,0.6000000000000001,0.4,3,6,0.0,0,100.0,100.0,0
13,7,10,2017,Olsztyn,Bielsko-Biala,21.6,20.55,19.333333333333332,20.65,3,15,5,14,1,0,0.9200000000000002,-0.4,0.4,0.0,3,3,0.0,0,100.0,0.0,1
14,7,10,2017,Cuprum,Kielce,21.346666666666668,19.026666666666667,20.34666666666667,21.8,4,16,6,13,1,0,0.6800000000000002,-1.08,0.6000000000000001,-0.6000000000000001,3,3,0.0,0,100.0,0.0,1
15,7,10,2017,Bydgoszcz,Bedzin,20.993333333333336,20.03666666666667,21.650000000000002,21.856666666666666,9,14,15,11,1,0,-0.08000000000000007,-0.8800000000000001,-0.6000000000000001,-0.6000000000000001,2,3,0.0,0,50.0,0.0,0
16,8,10,2017,Jastrzebski,Belchatow,20.0,20.0,20.0,20.0,12,11,4,3,0,0,0.0,0.0,0.0,0.0,-85,-85,0.0,0,50.0,50.0,1
17,8,10,2017,Zawiercie,Gdansk,20.35,20.2,20.7,19.88,13,5,10,7,0,1,-0.4,0.2,-0.4,0.0,7,4,0.0,0,0.0,100.0,0
18,8,10,2017,Czarni Radom,Szczecin,20.91,20.759999999999998,20.81,21.040000000000003,8,14,8,12,1,0,0.07999999999999996,-0.52,-0.4,-0.4,4,4,0.0,0,50.0,0.0,0
19,9,10,2017,Verva Warszawa,GKS Katowice,20.68,21.41,20.093333333333334,21.060000000000002,7,9,9,10,0,0,0.2800000000000001,-0.07999999999999996,0.0,0.4,5,4,0.0,0,50.0,50.0,1
20,11,10,2017,Bielsko-Biala,Cuprum,20.040000000000003,22.077333333333335,21.42,20.010666666666673,15,2,14,6,0,1,-0.7200000000000001,1.1440000000000001,-0.4,0.2,4,4,0.0,0,0.0,100.0,0
21,12,10,2017,Kedzierzyn-Kozle,Jastrzebski,22.009999999999998,21.0,21.28,20.55,3,7,1,4,1,1,0.7200000000000001,0.4,0.0,0.0,5,4,0.0,0,100.0,100.0,1
22,12,10,2017,Szczecin,Bydgoszcz,21.708000000000002,20.928,21.482000000000006,22.320000000000004,10,12,12,15,1,0,-0.016000000000000014,-0.6640000000000001,-0.2,0.4,4,5,0.0,0,33.33333333333333,33.33333333333333,1
23,12,10,2017,Bedzin,Verva Warszawa,21.029333333333337,20.794,21.618666666666666,20.22466666666667,11,6,11,9,1,1,-0.10400000000000009,0.6240000000000001,-0.4,0.2800000000000001,5,3,0.0,0,33.33333333333333,66.66666666666666,1
24,13,10,2017,Kielce,Czarni Radom,18.954666666666668,21.378,22.44,21.748,16,10,13,8,0,0,-1.4640000000000002,-0.3360000000000001,-0.6000000000000001,0.4,6,5,0.0,0,0.0,33.33333333333333,1
25,14,10,2017,Belchatow,Rzeszow,20.55,22.160000000000004,21.0,21.80466666666667,14,5,3,2,0,0,-0.4,0.30400000000000016,0.0,0.4,6,7,0.0,0,0.0,66.66666666666666,1
26,14,10,2017,Gdansk,GKS Katowice,21.226666666666667,21.278,19.570666666666668,21.098000000000003,4,12,7,10,1,0,0.7600000000000001,-0.46399999999999997,0.2,-0.07999999999999996,6,5,0.0,0,100.0,33.33333333333333,0
27,15,10,2017,Zawiercie,Jastrzebski,19.94666666666667,21.200000000000003,21.626666666666665,21.973333333333336,15,11,10,4,0,0,-0.9200000000000002,-0.28,-0.9200000000000002,-0.6000000000000001,7,3,0.0,0,0.0,50.0,0
28,17,10,2017,Verva Warszawa,Szczecin,20.8352,21.326400000000003,20.699733333333338,21.185600000000004,7,9,9,12,0,1,0.2992000000000001,0.1872,0.4,0.07999999999999996,5,5,0.0,0,50.0,50.0,0
29,18,10,2017,GKS Katowice,Bedzin,22.0224,21.34346666666667,21.211733333333335,21.494933333333332,9,10,10,11,1,1,0.22880000000000011,0.11679999999999993,-0.4,0.12,4,6,0.0,0,50.0,50.0,1
30,18,10,2017,Olsztyn,Belchatow,22.18,21.44,19.066666666666666,20.6,3,11,5,3,1,1,1.1360000000000001,0.28,0.7200000000000001,-0.4,7,4,0.0,0,100.0,50.0,1
