Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
18,11,2010,Kielce,Verva Warszawa,20.89160107,22.43286293,22.617216,21.73898027,8,3,8,10,0,1,-0.8431744,0.9377536,-0.1312,0.464,5,3,0,0,28.57142857,71.42857143,1
19,11,2010,Jastrzebski,Olsztyn,22.7365248,20.8841728,22.56519467,23.19209387,8,10,3,7,0,0,-0.4910336,-1.3663104,-0.176,-1.6112,6,6,0,0,28.57142857,28.57142857,1
20,11,2010,Kedzierzyn-Kozle,AZS Czestochowa,22.225344,22.88192896,20.48155307,21.75366101,4,5,2,5,1,1,0.1993344,0.6685952,0.4432,0.592,7,6,0,0,57.14285714,57.14285714,0
20,11,2010,Belchatow,Wielun,22.8995712,21.03426432,19.40794027,22.43941397,1,9,1,8,1,0,1.6253824,-0.5235968,0.888,-0.304,7,5,0,0,85.71428571,28.57142857,1
21,11,2010,Rzeszow,Bydgoszcz,21.03560064,21.90850261,21.34070912,23.39361109,2,6,4,6,0,1,0.2691328,-0.4760832,0.776,-1.2336,7,7,0,0,71.42857143,42.85714286,0
27,11,2010,Verva Warszawa,Belchatow,22.84629035,23.31965696,22.39118421,19.39301888,4,1,10,1,0,1,0.35020288,1.90030592,0.6128,1.1312,7,7,0,0,62.5,87.5,0
27,11,2010,AZS Czestochowa,Kielce,22.42554317,21.71328085,21.32292881,22.9937728,3,8,5,8,1,1,0.73487616,-0.27453952,0.2016,-0.904,7,7,0,0,62.5,37.5,1
27,11,2010,Wielun,Jastrzebski,20.69407812,23.03921984,22.95153118,21.85215573,9,7,8,3,0,1,-1.01887744,0.00717312,-0.4064,-0.4128,7,7,0,0,25,37.5,0
28,11,2010,Bydgoszcz,Kedzierzyn-Kozle,22.42680209,21.7002752,22.61488887,20.50524245,6,5,6,2,1,0,0.01913344,-0.04053248,0.464,0.024,7,7,0,0,50,50,0
28,11,2010,Olsztyn,Rzeszow,20.50733824,20.72848051,23.40367509,21.9725673,10,3,7,4,0,0,-1.49304832,-0.18469376,-0.152,-0.2656,7,7,0,0,25,62.5,0
1,12,2010,Olsztyn,Kedzierzyn-Kozle,20.73920393,21.72022016,23.72294007,20.20419396,10,4,7,2,0,1,-1.794438656,0.167574016,-0.7216,0.2192,3,3,-0.6,0,22.22222222,55.55555556,0
1,12,2010,Jastrzebski,Verva Warszawa,23.43137587,22.21036561,21.61505792,22.91294737,7,5,3,10,1,0,0.605738496,-0.319837696,0.2592,-0.0288,4,4,-0.4,0,44.44444444,55.55555556,0
1,12,2010,Belchatow,Kielce,23.65572557,21.10395802,19.44774844,23.39501824,1,8,1,8,1,0,2.120244736,-0.819631616,1.3104,-1.3232,4,4,0.6,0,88.88888889,33.33333333,1
1,12,2010,Rzeszow,Wielun,21.58278441,20.68859583,21.91138717,23.36122494,2,9,4,8,1,0,0.452244992,-1.415101952,0.2208,-0.8432,3,4,0.2,0,66.66666667,22.22222222,1
2,12,2010,Bydgoszcz,AZS Czestochowa,21.74144167,22.94043453,22.4519111,20.79167638,6,4,6,5,0,1,-0.184693248,1.187900928,0.1712,0.6736,4,5,0.2,0,44.44444444,66.66666667,0
4,12,2010,Jastrzebski,Belchatow,22.61176736,23.92458045,22.29204634,18.62486542,7,1,3,1,0,1,-0.115409203,2.296195789,-0.39264,1.50496,3,3,-0.2,0,40,90,0
4,12,2010,Rzeszow,Verva Warszawa,22.26622753,22.76829249,21.46244307,22.19702456,2,5,4,10,1,1,0.961795994,0.344129843,0.77664,0.57696,3,3,-0.2,0,70,60,1
4,12,2010,Kedzierzyn-Kozle,Wielun,21.65617613,20.48421,20.24335517,23.68897995,4,9,2,8,1,0,0.334059213,-1.732081562,0.15456,-1.27456,3,3,0.6,0,60,20,1
4,12,2010,Bydgoszcz,Kielce,21.92648667,19.94983308,23.09486221,23.71601459,6,8,6,8,0,0,-0.747754598,-1.255705293,-0.46304,-1.65856,2,3,-0.4,0,40,30,1
4,12,2010,AZS Czestochowa,Olsztyn,23.48568096,20.67136314,21.16667444,23.25835206,4,10,5,7,1,0,1.550320742,-1.635550925,0.76128,-1.68896,2,3,-0.2,0,70,20,1
11,12,2010,Verva Warszawa,Kedzierzyn-Kozle,22.81463399,21.3649409,22.85761965,20.47468414,5,4,10,2,0,1,-0.124696125,0.46724737,-0.10976,0.37536,7,7,-0.4,0,54.54545455,63.63636364,1
11,12,2010,Olsztyn,Bydgoszcz,20.73709051,22.54118934,23.80668165,22.47588977,10,6,7,6,0,1,-1.90844074,0.001796321,-0.77728,-0.58688,7,7,-0.6,0,18.18181818,45.45454545,0
11,12,2010,Wielun,AZS Czestochowa,20.667368,23.98854477,22.99118396,21.13333955,9,3,8,5,0,1,-1.585665249,1.840256594,-0.92512,1.13888,7,7,-0.6,0,18.18181818,72.72727273,0
11,12,2010,Kielce,Jastrzebski,19.95986646,22.33941389,23.97281167,22.68363707,8,7,8,3,0,0,-1.604564234,-0.492327363,0.29504,0.26976,7,7,-0.6,0,27.27272727,36.36363636,1
