,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
28,30,10,2011,Kedzierzyn-Kozle,Verva Warszawa,23.50024,20.690240000000003,22.077840000000005,21.640320000000003,1,9,3,5,1,0,1.6070400000000005,-0.6646400000000001,1.1760000000000002,-0.12000000000000005,7,7,0.0,0,100.0,20.0,1
29,31,10,2011,Rzeszow,AZS Czestochowa,23.336533333333335,22.22098666666667,21.541333333333334,23.568506666666668,3,8,2,4,1,0,0.8009600000000001,-1.24736,1.1440000000000001,-0.8800000000000001,7,7,0.0,0,80.0,20.0,0
30,3,11,2011,Olsztyn,Kielce,20.98346666666667,22.232912000000006,22.455573333333337,22.58376533333334,8,7,10,8,0,1,-0.7940480000000001,-0.11763200000000018,0.2800000000000001,0.28,6,5,0.0,0,33.33333333333333,33.33333333333333,0
31,4,11,2011,Bydgoszcz,Kedzierzyn-Kozle,21.625962666666666,24.200192,21.485632000000003,22.262272000000006,4,1,6,3,0,1,-0.024768000000000012,1.8856320000000006,0.2800000000000001,0.8800000000000001,6,5,0.0,0,66.66666666666666,100.0,0
32,4,11,2011,Verva Warszawa,Rzeszow,21.152192000000003,23.21922666666667,22.712256000000004,21.98306666666667,9,3,5,2,0,0,-1.1317120000000003,0.2407680000000001,-0.776,-0.12,5,4,0.0,0,16.666666666666664,66.66666666666666,0
33,5,11,2011,AZS Czestochowa,Gdansk,22.526789333333337,21.301909333333338,23.404805333333336,22.71677866666667,7,10,4,10,1,1,-0.5978880000000001,-0.8456320000000004,-0.6240000000000001,-1.3040000000000003,5,7,0.0,0,33.33333333333333,16.666666666666664,1
34,5,11,2011,Jastrzebski,Belchatow,22.345685333333336,22.731072,22.018042666666673,21.03204266666667,5,3,7,1,0,1,0.35596800000000006,0.7989120000000001,0.7200000000000001,0.29600000000000004,7,7,0.0,0,66.66666666666666,66.66666666666666,0
35,10,12,2011,AZS Czestochowa,Verva Warszawa,23.288098133333335,20.8017536,23.39051093333334,22.489804800000005,6,9,4,5,1,0,0.12168960000000001,-1.1053696000000002,0.1008,-0.6960000000000002,7,7,0.0,0,42.857142857142854,14.285714285714285,0
36,10,12,2011,Kedzierzyn-Kozle,Jastrzebski,24.260153600000002,22.07654826666667,22.209817600000008,22.46443413333334,1,5,3,7,1,0,1.9085056000000007,-0.11522559999999998,1.5408000000000004,-0.060799999999999965,7,7,0.0,0,100.0,57.14285714285714,0
37,10,12,2011,Rzeszow,Bydgoszcz,22.895381333333336,21.700770133333336,21.466453333333334,22.088505600000005,3,5,2,6,1,0,0.3926144000000001,-0.41981440000000003,0.5152000000000001,0.05279999999999996,7,7,0.0,0,71.42857142857143,57.14285714285714,1
38,10,12,2011,Belchatow,Olsztyn,23.034857600000002,20.653440000000003,21.025634133333334,22.96445866666667,3,9,1,10,1,0,1.0391296,-1.2352384,0.536,-0.9712000000000002,7,7,0.0,0,71.42857142857143,28.57142857142857,1
39,11,12,2011,Gdansk,Kielce,21.70819413333334,22.786329600000006,23.440089600000004,21.93367893333334,10,7,10,8,0,1,-1.2765056000000006,0.5058944,-0.13600000000000012,0.8240000000000001,7,7,0.0,0,14.285714285714285,42.857142857142854,1
40,16,12,2011,Bydgoszcz,AZS Czestochowa,21.46061610666667,22.67047850666667,22.620804480000004,22.87240874666667,5,6,6,4,0,0,-0.7358515200000001,-0.10264832,-0.17599999999999993,-0.30400000000000016,6,6,0.0,0,50.0,37.5,1
