,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,11,10,2013,Rzeszow,Bielsko-Biala,20.0,20.0,20.0,20.0,4,12,4,12,0,0,0.0,0.0,0.0,0.0,-1543,-1543,0.0,0,50.0,50.0,1
1,12,10,2013,Kedzierzyn-Kozle,Czarni Radom,20.0,20.0,20.0,20.0,4,6,2,11,0,0,0.0,0.0,0.0,0.0,-1542,-1542,0.0,0,50.0,50.0,1
2,12,10,2013,Belchatow,Gdansk,20.0,20.0,20.0,20.0,3,10,5,8,0,0,0.0,0.0,0.0,0.0,-1542,-1542,0.0,0,50.0,50.0,1
3,12,10,2013,Verva Warszawa,Kielce,20.0,20.0,20.0,20.0,7,8,6,7,0,0,0.0,0.0,0.0,0.0,-1542,-1542,0.0,0,50.0,50.0,1
4,12,10,2013,Bydgoszcz,AZS Czestochowa,20.0,20.0,20.0,20.0,9,11,1,10,0,0,0.0,0.0,0.0,0.0,-1542,-1542,0.0,0,50.0,50.0,0
5,12,10,2013,Jastrzebski,Olsztyn,20.0,20.0,20.0,20.0,6,7,3,9,0,0,0.0,0.0,0.0,0.0,-1542,-1542,0.0,0,50.0,50.0,0
6,18,10,2013,AZS Czestochowa,Jastrzebski,20.95,20.45,19.9,20.75,6,7,10,3,1,0,0.4,-0.4,0.0,0.0,6,6,0.0,0,100.0,0.0,0
7,19,10,2013,Bielsko-Biala,Verva Warszawa,20.46666666666667,21.133333333333333,21.066666666666666,20.666666666666668,12,6,12,6,0,1,-0.6000000000000001,0.6000000000000001,0.0,0.0,7,7,0.0,0,0.0,100.0,1
8,19,10,2013,Olsztyn,Kedzierzyn-Kozle,20.75,21.0,20.45,19.666666666666668,5,4,9,2,1,1,0.4,0.6000000000000001,0.0,0.0,7,7,0.0,0,100.0,100.0,1
9,19,10,2013,Czarni Radom,Rzeszow,19.666666666666668,21.066666666666666,21.0,20.46666666666667,9,2,11,4,0,1,-0.6000000000000001,0.6000000000000001,0.0,0.0,7,7,0.0,0,0.0,100.0,0
10,20,10,2013,Kielce,Belchatow,20.666666666666668,20.9,21.133333333333333,20.05,10,3,7,5,0,1,-0.6000000000000001,0.4,0.0,0.0,7,7,0.0,0,0.0,100.0,0
11,21,10,2013,Gdansk,Bydgoszcz,20.05,19.9,20.9,20.95,12,11,8,1,0,0,-0.4,-0.4,0.0,0.0,7,7,0.0,0,0.0,0.0,1
12,25,10,2013,Verva Warszawa,AZS Czestochowa,21.806666666666665,20.76,21.483333333333334,20.92,6,8,6,10,0,0,0.08000000000000007,-0.28,0.6000000000000001,0.4,6,7,0.0,0,50.0,50.0,1
13,26,10,2013,Jastrzebski,Rzeszow,21.36,21.853333333333335,20.6,20.70666666666667,5,1,3,4,1,1,0.28,1.08,-0.4,0.6000000000000001,7,7,0.0,0,50.0,100.0,1
14,26,10,2013,Kielce,Gdansk,20.483333333333334,20.590000000000003,21.356666666666666,21.07,11,7,7,8,0,1,-0.8800000000000001,0.07999999999999996,-0.4,-0.4,6,5,0.0,0,0.0,50.0,1
15,26,10,2013,Kedzierzyn-Kozle,Bielsko-Biala,21.85,21.323333333333334,20.833333333333336,21.753333333333337,6,10,2,12,0,1,0.08000000000000007,-0.08000000000000007,0.6000000000000001,-0.6000000000000001,7,7,0.0,0,50.0,50.0,1
