,Date,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,month,result,year
27,10,6,6,0,Bydgoszcz,21.59661866666667,22.802517333333338,-0.792,-0.6188800000000001,4,40.0,0.0,1,1,1,Belchatow,21.71808,20.658240000000006,0.8521600000000003,0.36000000000000004,4,80.0,0,11,1,2010
28,10,10,7,1,Olsztyn,21.964853333333338,22.091813333333338,-1.2640000000000002,-0.4473600000000001,4,40.0,0.0,5,10,1,Verva Warszawa,21.608640000000005,21.894240000000003,0.09023999999999999,0.016000000000000014,4,60.0,0,11,1,2010
29,11,4,2,0,Kedzierzyn-Kozle,22.6396,20.752426666666672,0.2800000000000001,0.2489600000000003,4,60.0,0.0,2,4,1,Rzeszow,21.149376000000007,20.288608000000004,0.7955200000000001,0.7200000000000001,5,80.0,0,11,1,2010
30,13,1,1,1,Belchatow,22.374464,20.25992533333334,0.6640000000000001,1.2817280000000002,3,83.33333333333334,0.0,10,7,0,Olsztyn,22.105216000000006,22.740117333333338,-0.9578880000000002,0.56,3,33.33333333333333,0,11,0,2010
31,13,8,11,0,Kielce,21.114501333333333,22.921520000000008,-0.8800000000000001,-0.8039680000000001,3,33.33333333333333,0.0,4,2,0,Kedzierzyn-Kozle,22.431680000000004,20.60194133333334,-0.0008319999999997774,0.30400000000000016,2,50.0,0,11,1,2010
32,13,7,3,0,Jastrzebski,22.420656,21.831493333333334,-0.016000000000000014,-0.11379199999999995,3,33.33333333333333,0.0,6,6,0,Bydgoszcz,21.01062826666667,23.24201386666667,-1.095104,0.08000000000000007,3,33.33333333333333,0,11,1,2010
33,14,2,4,1,Rzeszow,20.919500800000005,20.550886400000003,0.16800000000000004,0.836416,3,83.33333333333334,0.0,5,5,1,AZS Czestochowa,22.4774112,21.81707626666667,0.335744,-0.248,4,50.0,0,11,1,2010
34,15,5,10,1,Verva Warszawa,22.35357866666667,22.048725333333337,0.07999999999999996,0.6721920000000001,5,66.66666666666666,0.0,9,8,1,Wielun,21.167830400000007,22.36176746666667,-0.15449600000000008,-0.008000000000000007,5,33.33333333333333,0,11,0,2010
35,18,3,10,1,Verva Warszawa,22.43286293333334,21.738980266666672,0.46399999999999997,0.9377536000000002,3,71.42857142857143,0.0,8,11,0,Kielce,20.891601066666666,22.61721600000001,-0.8431744000000001,-0.13120000000000004,5,28.57142857142857,0,11,1,2010
36,19,10,7,0,Olsztyn,20.884172800000005,23.19209386666667,-1.6112000000000004,-1.3663104000000001,6,28.57142857142857,0.0,8,3,0,Jastrzebski,22.7365248,22.56519466666667,-0.49103359999999996,-0.17599999999999993,6,28.57142857142857,0,11,1,2010
37,20,5,5,1,AZS Czestochowa,22.881928960000003,21.75366101333334,0.5920000000000001,0.6685952,6,57.14285714285714,0.0,4,2,1,Kedzierzyn-Kozle,22.225344000000003,20.481553066666674,0.1993344000000002,0.44320000000000015,7,57.14285714285714,0,11,0,2010
38,20,9,8,0,Wielun,21.03426432000001,22.439413973333338,-0.30400000000000016,-0.5235968000000001,5,28.57142857142857,0.0,1,1,1,Belchatow,22.8995712,19.40794026666667,1.6253824000000003,0.8880000000000001,7,85.71428571428571,0,11,1,2010
39,21,6,6,1,Bydgoszcz,21.90850261333334,23.393611093333337,-1.2336,-0.47608320000000004,7,42.857142857142854,0.0,2,4,0,Rzeszow,21.035600640000006,21.340709120000007,0.26913280000000006,0.776,7,71.42857142857143,0,11,0,2010
40,27,1,1,1,Belchatow,23.31965696,19.393018880000003,1.1312000000000002,1.9003059200000005,7,87.5,0.0,4,10,0,Verva Warszawa,22.84629034666667,22.39118421333334,0.3502028800000002,0.6128000000000001,7,62.5,0,11,0,2010
41,27,8,11,1,Kielce,21.713280853333334,22.99377280000001,-0.9040000000000001,-0.27453952000000015,7,37.5,0.0,3,5,1,AZS Czestochowa,22.425543168000004,21.322928810666674,0.73487616,0.2016,7,62.5,0,11,1,2010
42,27,7,3,1,Jastrzebski,23.039219840000005,21.852155733333337,-0.41280000000000006,0.007173120000000033,7,37.5,0.0,9,8,0,Wielun,20.694078122666674,22.95153117866667,-1.0188774400000002,-0.40640000000000004,7,25.0,0,11,0,2010
43,28,5,2,0,Kedzierzyn-Kozle,21.700275200000004,20.50524245333334,0.024000000000000077,-0.04053247999999984,7,50.0,0.0,6,6,1,Bydgoszcz,22.426802090666676,22.61488887466667,0.019133439999999946,0.4640000000000001,7,50.0,0,11,0,2010
44,28,3,4,0,Rzeszow,20.728480512000004,21.97256729600001,-0.26559999999999995,-0.18469375999999996,7,62.5,0.0,10,7,0,Olsztyn,20.507338240000006,23.403675093333337,-1.4930483200000002,-0.15200000000000002,7,25.0,0,11,0,2010
45,1,4,2,1,Kedzierzyn-Kozle,21.720220160000004,20.204193962666675,0.21920000000000006,0.16757401600000013,3,55.55555555555556,-0.6000000000000001,10,7,0,Olsztyn,20.739203925333342,23.72294007466667,-1.7944386560000003,-0.7216000000000001,3,22.22222222222222,0,12,0,2010
46,1,5,10,0,Verva Warszawa,22.21036561066667,22.91294737066667,-0.028800000000000048,-0.3198376959999999,4,55.55555555555556,-0.4,7,3,1,Jastrzebski,23.431375872000004,21.61505792,0.6057384960000001,0.2592000000000001,4,44.44444444444444,0,12,0,2010
47,1,8,11,0,Kielce,21.103958016000004,23.39501824000001,-1.3232000000000004,-0.8196316160000002,4,33.33333333333333,0.6000000000000001,1,1,1,Belchatow,23.655725568,19.44774843733334,2.1202447360000005,1.3104000000000002,4,88.88888888888889,0,12,1,2010
48,1,9,8,0,Wielun,20.688595831466674,23.361224942933337,-0.8432000000000002,-1.4151019520000003,4,22.22222222222222,0.2,2,4,1,Rzeszow,21.582784409600006,21.911387170133338,0.4522449920000001,0.2208,3,66.66666666666666,0,12,1,2010
49,2,4,5,1,AZS Czestochowa,22.940434534400005,20.791676381866676,0.6736000000000001,1.1879009280000001,5,66.66666666666666,0.2,6,6,0,Bydgoszcz,21.74144167253334,22.451911099733334,-0.18469324800000006,0.17120000000000007,4,44.44444444444444,0,12,0,2010
