,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,30,9,2016,Szczecin,Kedzierzyn-Kozle,20.0,20.0,20.0,20.0,12,1,12,1,0,0,0.0,0.0,0.0,0.0,-458,-458,0.0,0,50.0,50.0,0
1,1,10,2016,Verva Warszawa,Rzeszow,20.0,20.0,20.0,20.0,9,2,8,2,0,0,0.0,0.0,0.0,0.0,-457,-457,0.0,0,50.0,50.0,0
2,1,10,2016,Jastrzebski,Olsztyn,20.0,20.0,20.0,20.0,4,5,7,9,0,0,0.0,0.0,0.0,0.0,-457,-457,0.0,0,50.0,50.0,1
3,2,10,2016,GKS Katowice,Bydgoszcz,20.0,20.0,20.0,20.0,10,15,10,10,0,0,0.0,0.0,0.0,0.0,-456,-456,0.0,0,50.0,50.0,1
4,3,10,2016,Gdansk,Kielce,20.0,20.0,20.0,20.0,8,13,4,13,0,0,0.0,0.0,0.0,0.0,-455,-455,0.0,0,50.0,50.0,1
5,4,10,2016,Czarni Radom,AZS Czestochowa,20.0,20.0,20.0,20.0,9,16,6,12,0,0,0.0,0.0,0.0,0.0,-454,-454,0.0,0,50.0,50.0,1
6,5,10,2016,Belchatow,Bedzin,20.0,20.0,20.0,20.0,7,11,3,14,0,0,0.0,0.0,0.0,0.0,-453,-453,0.0,0,50.0,50.0,1
7,6,10,2016,Szczecin,Rzeszow,19.2,21.0,21.0,20.0,12,2,12,2,0,1,-0.6000000000000001,0.6000000000000001,-0.6000000000000001,0.6000000000000001,6,5,0.0,0,0.0,100.0,0
8,7,10,2016,AZS Czestochowa,Jastrzebski,20.2,20.560000000000002,21.133333333333333,20.12,16,4,12,7,0,1,-0.6000000000000001,0.2,0.0,0.0,3,6,0.0,0,0.0,100.0,0
9,8,10,2016,Verva Warszawa,Bydgoszcz,20.0,20.05,21.0,20.45,10,15,8,10,0,0,-0.6000000000000001,-0.4,-0.6000000000000001,-0.4,7,6,0.0,0,0.0,0.0,1
10,8,10,2016,Olsztyn,GKS Katowice,20.12,20.45,20.560000000000002,20.05,9,8,9,10,0,1,-0.2,0.4,0.0,0.0,7,6,0.0,0,0.0,100.0,1
11,9,10,2016,Kedzierzyn-Kozle,Belchatow,21.0,21.066666666666666,19.2,20.0,3,4,1,3,1,1,0.6000000000000001,0.6000000000000001,0.0,0.0,7,4,0.0,0,100.0,100.0,0
12,9,10,2016,Bedzin,Gdansk,20.0,20.75,21.066666666666666,20.55,11,6,14,4,0,1,-0.6000000000000001,0.4,0.0,0.0,4,6,0.0,0,0.0,100.0,0
13,10,10,2016,Czarni Radom,Bielsko-Biala,21.133333333333333,20.0,20.2,20.0,7,14,6,14,1,0,0.6000000000000001,0.0,0.6000000000000001,0.0,6,-448,0.0,0,100.0,50.0,0
14,14,10,2016,Szczecin,Verva Warszawa,19.56,21.0,21.8,20.666666666666668,13,8,12,8,0,1,-1.08,0.12,-1.08,0.0,7,6,0.0,0,0.0,50.0,0
15,14,10,2016,Czarni Radom,Kielce,21.456666666666667,20.55,21.16,20.75,8,14,6,13,0,0,0.08000000000000007,-0.4,0.08000000000000007,-0.4,4,7,0.0,0,50.0,0.0,0
16,14,10,2016,Bydgoszcz,Olsztyn,19.90666666666667,21.096,21.36,19.848000000000006,15,7,10,9,0,1,-0.9200000000000002,0.44000000000000006,0.0,-0.2,6,6,0.0,0,0.0,50.0,0
17,15,10,2016,Belchatow,Rzeszow,21.903333333333336,21.8,20.9,20.2,2,1,3,2,1,1,0.8800000000000001,1.08,0.6000000000000001,1.08,6,7,0.0,0,100.0,100.0,0
18,15,10,2016,GKS Katowice,AZS Czestochowa,19.759999999999998,19.76,21.040000000000003,21.906666666666666,9,16,10,12,0,0,-0.28,-1.08,0.4,-0.6000000000000001,7,7,0.0,0,50.0,0.0,1
